pais,año,indice_democracia,crecimiento,indice_gini,agua_potable,mujeres_fuerza_laboral,liberalizacion_economica
Colombia,2012,1.53,-2.32,42.51,64.48130768,53.05,0
Colombia,2013,4.21,-2.07,44.31,75.84703757,31.77,0
Colombia,2014,5.98,-3.37,54.56,85.7826598,48.51,1
Colombia,2015,4.19,-3.78,39.33,77.42781315,51.28,0
Colombia,2016,4.55,-7.57,58.4,77.15512352,52.07,0
Colombia,2017,1.99,8.82,39.68,68.97036636,47.02,0
Colombia,2018,0.05,2.05,53.72,60.35463654,31.4,0
Colombia,2019,2.82,1.14,36.22,73.21111145,41.36,0
Colombia,2020,6.99,-7.59,30.41,86.59990585,42.09,1
Argentina,1990,8.9,4.3,52.37,95.01167671,36.49,1
Argentina,1991,2.92,8.22,58.95,70.89080877,45.56,0
Argentina,1992,4.97,-0.02,38.69,76.9726692,33.12,0
Argentina,1993,8.27,9.93,32.73,93.73165881,33.62,1
Argentina,1994,3.42,7.76,46.5,74.20315367,39.68,0
Argentina,1995,5.92,-8.05,42,83.72136031,44.04,1
Argentina,1996,3.28,1.7,47.48,72.65018381,34.5,0
Argentina,1997,2.76,-4.64,37.8,68.20235781,56.2,0
Argentina,1998,3.59,3.06,44.33,73.52179862,46.15,0
Argentina,1999,8.53,-0.68,42.58,93.49711861,58.09,1
Argentina,2000,3.64,7.82,31.45,72.95913653,35.89,0
Argentina,2001,4.84,1.14,57.38,79.05556298,57.15,0
Argentina,2002,3.78,3.26,38.91,75.93347784,52.87,0
Argentina,2003,7.67,7.71,51.68,94.50456839,39.79,1
Argentina,2004,0.49,6.43,48.77,62.27493296,40.12,0
Argentina,2005,2.61,-6.48,59.47,70.94639466,54.35,0
Argentina,2006,3.95,7.09,38.86,75.65853044,42.7,0
Argentina,2007,5.81,1.38,32.96,79.432267,30.13,0
Argentina,2008,0.33,0.98,45.27,61.2308238,39.4,0
Argentina,2009,7.87,-1.31,57.18,91.65506423,43.31,1
Argentina,2010,5.12,-3.76,53.85,85.42798874,55.54,1
Argentina,2011,9.24,-9.83,33.35,96.64637135,57.58,1
Argentina,2012,9.83,-1.59,31.33,100,39.83,1
Argentina,2013,5.25,5.97,35.73,80.95364567,32.56,1
Argentina,2014,9.84,9.76,44.75,97.10095887,44.45,1
Argentina,2015,4.99,4.7,49.24,82.26558545,55.06,1
Argentina,2016,4.35,-5.75,54.74,78.91610278,52.46,1
Argentina,2017,5.84,2.52,57.45,84.97223441,36.3,1
Argentina,2018,8.06,-2.36,46.82,90.47811576,31.38,1
Argentina,2019,5.4,1.2,55.52,84.43046325,52.71,1
Argentina,2020,5.46,-2.12,48.65,79.06189466,43.16,0
Peru,1990,9.64,3.92,59.97,99.80962191,57.58,1
Peru,1991,1.35,-4.27,44.31,69.75703964,34.93,0
Peru,1992,0.81,3.74,42.75,61.22855624,41.12,0
Peru,1993,7.21,-3.18,48.19,87.75406452,50.84,1
Peru,1994,4.34,5,53.35,77.57141908,33.24,0
Peru,1995,0.24,6,57.3,60,48.71,0
Peru,1996,8.54,4.77,36.5,91.12134114,42.12,1
Peru,1997,4.58,1.48,38.58,78.47213096,36.47,0
Peru,1998,6.73,-0.73,55.73,84.83627522,30.19,1
Peru,1999,5.67,6.58,51.31,83.65530923,55.65,1
Peru,2000,9.11,-7.04,50.23,94.67068012,55.93,1
Peru,2001,0.03,-8.32,47.38,63.18010953,53.27,0
Peru,2002,3.12,-2.87,54.53,70.91092571,54.29,0
Peru,2003,0.21,-2.9,43.31,60.15828419,55.88,0
Peru,2004,0.16,3.19,56.09,62.22883985,35.96,0
Peru,2005,9.67,-1.59,44.16,96.29454017,53.3,1
Peru,2006,5.38,4.98,45.61,81.99955377,45.04,1
Peru,2007,8.07,3.93,41.74,94.95129654,53.94,1
Peru,2008,9.53,-7.79,46.87,94.97961728,49.82,1
Peru,2009,3.88,-8.21,58.3,75.89584746,56.02,0
Peru,2010,6.05,-0.52,50.42,84.75246368,35.31,1
Peru,2011,8.47,9.99,44.16,95.50547122,54.01,1
Peru,2012,5.75,-8.32,34.42,80.55518584,34.47,0
Peru,2013,2.12,1.8,59.09,65.82448296,39.1,0
Peru,2014,5.26,-3.68,35.68,82.1070727,30.03,1
Peru,2015,3.51,6.97,36.16,74.63609573,48.79,0
Peru,2016,5.42,-7.12,41.83,82.20610105,35.57,1
Peru,2017,5.76,-4.15,52.23,83.76210404,41.85,1
Peru,2018,2.6,-2.3,45.53,69.03112408,36.74,0
Peru,2019,4.94,1.49,34,80.24384541,38.68,1
Peru,2020,1.51,-5.35,58.49,66.60419911,53.91,0
Venezuela,1990,2.62,-9.71,45.74,69.04271141,35.75,0
Venezuela,1991,3.18,3.13,42.88,76.44970349,31.58,1
Venezuela,1992,0.82,6.24,38.4,64.19741509,42.8,0
Venezuela,1993,9.72,-7.75,40.5,96.57426362,42.4,1
Venezuela,1994,4.47,7.98,53.65,79.20678826,33.56,1
Venezuela,1995,5.03,-5.9,42.28,78.19105792,42.93,0
Venezuela,1996,6.18,6.95,36.27,86.328432,37.52,1
Venezuela,1997,7.9,7.58,59.12,93.97215605,40.89,1
Venezuela,1998,5.96,-1.3,57.76,82.23025021,45.85,1
Venezuela,1999,6.07,-3.4,54.36,86.23969107,33.57,1
Venezuela,2000,2.07,5.49,46.11,69.09035624,36.09,0
Venezuela,2001,6.06,3.89,39.57,85.91693878,46.77,1
Venezuela,2002,8.17,1.65,51.53,96.53180061,47.54,1
Venezuela,2003,6.89,8.94,51.24,87.11203219,46.46,1
Venezuela,2004,1.05,8.07,30.29,62.66504522,48.71,0
Venezuela,2005,8.67,3.87,57.36,92.96520384,33.18,1
Venezuela,2006,9.98,7.21,35.67,98.36837943,45.47,1
Venezuela,2007,8.16,5.91,56.97,92.54389086,51.28,1
Venezuela,2008,1,-4.15,54.86,64.6542197,30.06,0
Venezuela,2009,8.11,0.86,39.07,93.05087408,43.2,1
Venezuela,2010,4.82,-8.63,58.01,80.95226018,38.71,1
Venezuela,2011,5.91,3.09,50.69,83.69701682,33.93,1
Venezuela,2012,8.14,-1.99,57.26,95.52492171,45.99,1
Venezuela,2013,2.05,-4.41,48.71,67.65523999,51.97,0
Venezuela,2014,9,8.71,58.27,100,38.81,1
Venezuela,2015,2.79,-8.21,39.04,72.40479508,42.79,0
Venezuela,2016,6.99,4.62,56.44,86.28969692,48.2,1
Venezuela,2017,8.01,1.66,55.41,89.95450387,30.83,1
Venezuela,2018,4.8,-2.91,34.46,80.18259779,48.97,1
Venezuela,2019,6.45,-8.82,57.14,85.39058697,45.51,1
Venezuela,2020,9.73,7.6,56.52,100,38.84,1
Chile,1990,9.73,-2.9,31.32,99.94346622,30.91,1
Chile,1991,9.79,1.7,42.04,99.09205531,49.41,1
Chile,1992,3.09,-8.55,45.93,70.66348378,34.24,0
Chile,1993,6.65,-6.68,51.89,83.61022531,51.9,1
Chile,1994,7.01,5.97,39.72,87.19122285,41.17,1
Chile,1995,9.1,-6.77,51.52,98.18220581,45.84,1
Chile,1996,1.53,-8.31,48.82,66.52648237,51.42,0
Chile,1997,8.66,-0.73,36.4,92.21263478,59.21,1
Chile,1998,2.92,0.04,44.88,72.02138693,43.81,0
Chile,1999,6.07,0.91,48.02,85.08357358,51.61,1
Chile,2000,5.95,-2.31,56.22,82.06377961,40.23,1
Chile,2001,0.15,-9.45,39.49,60.86913527,47.77,0
Chile,2002,5.04,-0.44,50.63,80.29695906,55.49,1
Chile,2003,0.9,-9.09,59.85,61.28477154,30.25,0
Chile,2004,6.81,9.21,43.71,87.99742026,30.13,1
Chile,2005,1.09,-4.15,32.7,65.45456805,44.01,0
Chile,2006,2.99,6.84,36.06,74.12197009,50.2,0
Chile,2007,2.24,-0.81,38.01,71.05444463,50.36,0
Chile,2008,0.48,-3.24,48.12,60,45.88,0
Chile,2009,3.63,8.55,41.23,72.64792063,54.47,0
Chile,2010,7.22,0.6,34.58,89.95685088,41.82,1
Chile,2011,7.22,3.21,56.96,89.95435224,50.31,1
Chile,2012,6.41,-7.07,31.34,86.70712647,51.86,1
Chile,2013,8.06,0.99,59.3,100,59.81,1
Chile,2014,0.66,5.2,34.58,63.74960449,41.82,0
Chile,2015,3.14,-0.09,56.71,74.8288043,56.95,0
Chile,2016,8.07,3.1,32.61,94.24501456,49.45,1
Chile,2017,9.42,-0.06,53.7,99.05604228,39.93,1
Chile,2018,9.41,7.56,46.74,97.08260093,45.54,1
Chile,2019,4.34,7.31,47.34,78.89005479,51.12,1
Chile,2020,2.83,-0.99,43.11,69.7682914,35.95,0
Guatemala,1990,2.42,5.25,41.55,69.19536981,38.12,0
Guatemala,1991,3.72,3.23,39.71,73.91392687,39.2,0
Guatemala,1992,7.05,-7.24,31.92,88.40848248,30.74,1
Guatemala,1993,3.81,-7.73,42.01,79.87505434,31.61,1
Guatemala,1994,0.89,8.38,46.28,60,36.7,0
Guatemala,1995,1.75,6.69,59.48,68.35346321,50.69,0
Guatemala,1996,2.67,8.5,43.61,67.44658431,44.14,0
Guatemala,1997,4.8,5.49,55.88,78.27378923,43.3,0
Guatemala,1998,9.04,-0.87,34.79,98.40658725,37.61,1
Guatemala,1999,4.76,9.81,34.73,79.18573155,57.2,0
Guatemala,2000,2.29,6.5,40.96,66.99195277,37.93,0
Guatemala,2001,1.23,3.53,58.26,63.46407663,50.38,0
Guatemala,2002,9.72,-8.15,40.28,100,57.46,1
Guatemala,2003,3.03,3.54,30.12,70.65561578,35.65,0
Guatemala,2004,5.47,-5.37,39.87,82.33863433,49.45,1
Guatemala,2005,3.84,-7.88,45.53,75.45724197,55.29,0
Guatemala,2006,2.51,-9.79,53,68.72688958,56.09,0
Guatemala,2007,8.95,-3.33,43.89,100,52.22,1
Guatemala,2008,5.74,6.24,32.19,84.25680495,58.01,1
Guatemala,2009,7.49,5.17,31.64,85.95974492,44.45,1
Guatemala,2010,2.45,-2.43,47.79,70.16227673,59.27,0
Guatemala,2011,2.86,-6.43,36.12,70.11072998,52.14,0
Guatemala,2012,3.8,5.88,59.65,76.91048352,50.04,0
Guatemala,2013,4.31,8.75,58.85,75.66671379,34.99,0
Guatemala,2014,0.77,2.02,57.99,62.81967456,52.95,0
Guatemala,2015,6.49,-2.73,46.79,87.00796854,48.85,1
Guatemala,2016,7.38,-3.11,33.49,91.30021651,38.94,1
Guatemala,2017,4.22,9.07,58.51,74.4900792,52.69,0
Guatemala,2018,6.37,-6.52,50.42,84.84754718,34.93,1
Guatemala,2019,2.95,-5.3,52.5,70.84549554,32.9,0
Guatemala,2020,2.47,-4.33,43.94,68.56295036,35.41,0
Ecuador,1990,1.54,1.14,33.37,69.66932373,30.05,0
Ecuador,1991,5.6,-7.85,52.28,83.23724527,48.04,1
Ecuador,1992,2.02,4.88,43.83,65.54242467,42,0
Ecuador,1993,3.84,5.99,44.65,77.20182219,43.91,0
Ecuador,1994,0.99,8.19,58.02,68.17610778,50.82,0
Ecuador,1995,0.46,0,37.87,63.87034677,52.41,0
Ecuador,1996,4.86,3.61,47.53,76.41963519,30.25,0
Ecuador,1997,0.15,-7.21,30.35,60,46.92,0
Ecuador,1998,0.2,-8.41,46.54,63.29610916,31.79,0
Ecuador,1999,5.15,-9.19,35.37,79.20652667,36.37,0
Ecuador,2000,3.66,-7.67,37.36,75.53157065,51.84,0
Ecuador,2001,4.34,2.81,57.1,78.92138446,39.81,1
Ecuador,2002,6.45,7.58,57.5,83.98365159,37.24,1
Ecuador,2003,0.76,-7.99,33.44,62.88997637,46.24,0
Ecuador,2004,9,4.1,49.42,89.58566993,33.54,1
Ecuador,2005,1.58,9.3,33.74,64.25012141,58.35,0
Ecuador,2006,4.83,0.54,47.73,78.83287774,59.18,0
Ecuador,2007,8.75,1.52,59.88,92.56962922,48.54,1
Ecuador,2008,3.84,-7.19,50.96,78.6309209,48.06,1
Ecuador,2009,6.16,0.18,34.36,81.81373931,42.43,0
Ecuador,2010,0.69,3.43,57.61,61.84809558,37.7,0
Ecuador,2011,4.76,-4.63,30.95,79.31865267,42.79,0
Ecuador,2012,9.91,-6.93,45.28,100,31.48,1
Ecuador,2013,2.76,8.53,49.12,68.161375,37.27,0
Ecuador,2014,9.98,-1.47,34.12,100,32.7,1
Ecuador,2015,0.34,8.37,39.97,61.34443804,37.11,0
Ecuador,2016,3.26,-7.94,41.47,71.07610005,53.7,0
Ecuador,2017,5.51,-2.86,53.72,82.99040554,44.4,1
Ecuador,2018,1.45,5.27,45.23,66.17545139,58.41,0
Ecuador,2019,5.27,6.21,47.39,79.90287618,34.92,0
Ecuador,2020,3.88,-1.22,58.94,75.66618391,50.7,0
Bolivia,1990,0.21,7.13,34.92,60.03178003,35.41,0
Bolivia,1991,0.88,1.29,57.19,63.7175061,33.79,0
Bolivia,1992,4.43,-0.07,51.69,79.05746095,51.57,1
Bolivia,1993,5.42,-8.77,54.05,84.87714898,41.65,1
Bolivia,1994,2.6,-9.5,39.17,67.91554252,45.84,0
Bolivia,1995,5.94,3.56,53.74,88.05744087,46.02,1
Bolivia,1996,9.22,-6.67,50.18,93.04667696,45.19,1
Bolivia,1997,8.03,-5.63,32.3,91.8729594,49.29,1
Bolivia,1998,4.07,2.4,36.68,77.46550101,37.52,0
Bolivia,1999,5.08,6.64,51.79,80.9030068,43.53,1
Bolivia,2000,0.71,7.29,31.2,61.56302624,49.77,0
Bolivia,2001,8.79,-4.46,35.06,94.80943253,50.94,1
Bolivia,2002,1.42,-9.04,33.97,64.67096904,34.89,0
Bolivia,2003,1.8,-3.26,31.9,66.00281512,35.02,0
Bolivia,2004,3.6,7.8,54.08,76.10241382,53.96,0
Bolivia,2005,3.33,-1.64,41.38,74.03399085,47.39,0
Bolivia,2006,4.98,7.05,50.32,78.55400027,47.15,0
Bolivia,2007,4.37,2.65,54.75,79.29167718,45.33,1
Bolivia,2008,2.93,0.12,38.53,72.32974448,39.97,0
Bolivia,2009,8.79,-2.14,55.76,96.85140127,32.12,1
Bolivia,2010,4.07,8.47,45.07,77.54812428,37.73,0
Bolivia,2011,7.22,-8.03,47.41,87.26879032,34.26,1
Bolivia,2012,4.04,-4.43,58.98,75.04814344,57.89,0
Bolivia,2013,8.13,-0.19,46.51,94.07232041,45.54,1
Bolivia,2014,1.53,-1.61,45.68,67.31903542,38.64,0
Bolivia,2015,3.89,9.29,55.11,75.52489691,33.31,0
Bolivia,2016,6.03,-4.73,35.37,84.38711214,34.59,1
Bolivia,2017,0.67,3.58,56.38,65.20327362,47.1,0
Bolivia,2018,3.19,-7.26,58.87,71.57513205,33.57,0
Bolivia,2019,4.53,6.4,53.52,79.22859797,46.25,1
Bolivia,2020,4.13,3.81,38.46,76.12520346,53.35,0
Cuba,1990,9.59,-9.29,39.46,97.99994351,41.51,1
Cuba,1991,6.47,-1.14,51.84,88.11530696,59.73,1
Cuba,1992,6.08,1.93,31.25,86.00389188,45.78,1
Cuba,1993,1.05,-0.33,55.5,65.79953682,46.66,0
Cuba,1994,9.24,-9.32,40.7,99.64205089,51.8,1
Cuba,1995,6,8.54,40.36,84.07410397,53.38,1
Cuba,1996,4.53,-2.18,41.2,79.49830915,59.44,1
Cuba,1997,0.02,3.71,40.37,60,44.67,0
Cuba,1998,2.1,-0.7,44.22,69.03348817,55.46,0
Cuba,1999,9.71,3.74,36.18,98.65646414,58.46,1
Cuba,2000,8.12,9.57,48.03,92.73160477,59.63,1
Cuba,2001,8.82,-5.92,37.72,96.53635217,33.08,1
Cuba,2002,5.41,-7.95,40.9,80.02855362,34.91,0
Cuba,2003,1.97,-7.17,45.9,72.04836532,39.08,0
Cuba,2004,3.38,6.7,49.8,71.50852692,34.82,0
Cuba,2005,4.25,1.18,54.74,74.58265587,33.17,0
Cuba,2006,8.97,0.52,59.25,98.26406528,48.1,1
Cuba,2007,1.92,4.89,31.12,69.24631435,31.46,0
Cuba,2008,8.02,6.39,36.66,93.38464886,52.18,1
Cuba,2009,8.74,0.86,44.91,96.28176624,34.83,1
Cuba,2010,3.98,-1.62,45.46,75.9032898,58.18,0
Cuba,2011,7.56,-0.08,40.85,88.49636387,55.18,1
Cuba,2012,0.1,3.26,33.95,60.51269237,54.17,0
Cuba,2013,4.84,-3.08,45.58,78.02381098,51.36,0
Cuba,2014,3.9,8.21,52.93,77.55705993,47.46,0
Cuba,2015,0.64,-3.86,59.56,62.23346799,30.34,0
Cuba,2016,3.21,-1.98,32.85,71.18752115,54.21,0
Cuba,2017,2.56,-8.07,52.35,69.58792039,51.1,0
Cuba,2018,7.11,7.71,35.19,89.31131928,52.54,1
Cuba,2019,2.18,-6.77,59.1,67.57866925,47.21,0
Cuba,2020,8.62,9.89,45.26,92.8991901,31.25,1
Honduras,1990,6.14,7.61,31.65,85.08115577,50.07,1
Honduras,1991,8.86,-7.7,45.63,95.9964527,57.86,1
Honduras,1992,1.91,0.34,39.42,66.60898226,47.64,0
Honduras,1993,8.22,-4.98,34.39,91.99673984,35.97,1
Honduras,1994,5.55,3.18,45.39,82.69077991,54.02,1
Honduras,1995,8.13,-1.09,34,89.68156452,51.88,1
Honduras,1996,0.31,8.02,53.58,60,39.95,0
Honduras,1997,6.34,-9.41,59.97,83.95930012,35.75,1
Honduras,1998,6.42,3.57,53.69,85.29025715,44.77,1
Honduras,1999,3.75,-2.92,31.52,75.62683018,56.52,0
Honduras,2000,5.02,7.49,40.73,83.05101334,31.13,1
Honduras,2001,8,2.22,41.67,93.77148775,54.05,1
Honduras,2002,9.75,-1.12,45.69,98.75735464,46.81,1
Honduras,2003,2.6,7.26,47.69,70.3531411,57.63,0
Honduras,2004,0.7,-7.7,48.1,60.76324619,45.98,0
Honduras,2005,7.01,-4.09,51.05,88.04722649,53.41,1
Honduras,2006,3.06,0.84,50.63,71.65939285,31.81,0
Honduras,2007,8.22,-7.75,40.14,93.58425357,55.14,1
Honduras,2008,7.21,-5.38,46.28,87.23219809,59.57,1
Honduras,2009,1.79,-3.04,40.49,68.1801173,47.02,0
Honduras,2010,1.21,-6.54,50.52,67.87992116,46.55,0
Honduras,2011,2.74,3.79,37.37,70.73533828,49.38,0
Honduras,2012,2.54,9.18,48.64,70.9538748,48.01,0
Honduras,2013,1.13,6.21,45.46,65.87376842,32.59,0
Honduras,2014,9.28,-9.94,58.42,96.38913378,32.98,1
Honduras,2015,0.14,-2.31,56.51,60.96974966,30.19,0
Honduras,2016,5.45,1.43,31.88,81.85066123,50.75,1
Honduras,2017,7.86,-6.2,51.09,91.68983565,45.46,1
Honduras,2018,3.81,-0.89,37.49,73.69971764,36.7,0
Honduras,2019,1.44,-0.18,40.12,65.78623198,48.9,0
Honduras,2020,7.09,-9.28,59.42,89.40121223,58.42,1
Paraguay,1990,1.83,7.1,47.83,70.20419293,47.38,0
Paraguay,1991,4.66,7.11,33.9,80.57450956,35.69,1
Paraguay,1992,1.07,0.41,50.36,68.55912319,51.15,0
Paraguay,1993,3.97,7.8,47.9,74.35296786,59.49,0
Paraguay,1994,0.13,-5.86,30.79,62.22608561,52.55,0
Paraguay,1995,0.01,7.83,38.57,60.36668401,53.68,0
Paraguay,1996,8.64,3.29,45.33,99.00347748,54.22,1
Paraguay,1997,3.78,2.03,49.65,73.50877956,34.32,0
Paraguay,1998,7.43,2.72,53.96,88.08986424,59.02,1
Paraguay,1999,3.32,3.31,49.97,72.08105423,54.48,0
Paraguay,2000,9.08,-3.95,52.01,92.14137605,55.85,1
Paraguay,2001,4.46,4.16,30.34,76.80205064,36.12,0
Paraguay,2002,8.47,9.18,47.24,92.42356015,58.67,1
Paraguay,2003,2.06,2.92,41.18,68.5254616,55,0
Paraguay,2004,6.13,8.76,37.31,85.23717293,51.5,1
Paraguay,2005,5.93,7.6,46.39,87.50359544,39.4,1
Paraguay,2006,5.44,-8.01,34.26,83.68620374,35.69,1
Paraguay,2007,3.02,-6.34,54.79,70.92242137,38.16,0
Paraguay,2008,2.05,-5.91,37.9,66.38772432,49.98,0
Paraguay,2009,9.28,-8.56,44.15,98.17541307,42.27,1
Paraguay,2010,8.52,9.95,55.74,91.50196087,44.41,1
Paraguay,2011,8.97,1.28,33.69,99.61076106,36.47,1
Paraguay,2012,2.16,-8.69,44.01,70.98475787,47.36,0
Paraguay,2013,0.21,9.05,52.55,60,45.83,0
Paraguay,2014,6.16,9.72,56.52,81.24775301,47.37,0
Paraguay,2015,2.86,0.69,36.27,74.14204766,37.34,0
Paraguay,2016,9.48,-9.76,35.28,97.76490226,54.37,1
Paraguay,2017,7.06,2.19,46.82,90.76048719,51.67,1
Paraguay,2018,1.84,-7.61,38.7,64.15317076,58.59,0
Paraguay,2019,7.17,-2.91,40.64,87.52742849,53.73,1
Paraguay,2020,3.45,-4.22,46.55,73.81189161,30.2,0
Nicaragua,1990,9.59,5.47,59.47,98.52926711,59.79,1
Nicaragua,1991,7.91,-9.32,59.81,90.79495431,47.66,1
Nicaragua,1992,9.59,-1.82,34.93,99.68100578,35.51,1
Nicaragua,1993,0.48,-8.52,36.84,60,41.73,0
Nicaragua,1994,9.03,5.85,46.49,95.90380673,58.13,1
Nicaragua,1995,1.55,-1.4,40.36,66.41912687,43.96,0
Nicaragua,1996,7.5,2.35,49.64,91.07902812,54.95,1
Nicaragua,1997,1.27,-8.21,38.72,66.47839525,51.63,0
Nicaragua,1998,0.98,-2.67,39.87,61.64239084,56.59,0
Nicaragua,1999,2.66,-7.89,49.77,67.56366735,31.61,0
Nicaragua,2000,1.66,-3.09,49.67,69.17521322,35.59,0
Nicaragua,2001,7.08,-9.44,53.54,89.02972331,55.46,1
Nicaragua,2002,8.9,2.69,46.22,94.17002793,50.29,1
Nicaragua,2003,2.08,-7.28,57.34,71.4072187,35.6,0
Nicaragua,2004,8.71,5.83,42.89,95.13606341,58.84,1
Nicaragua,2005,0.37,-8.86,46.03,63.80292737,31.51,0
Nicaragua,2006,9.42,3.16,30.11,97.88829674,48.81,1
Nicaragua,2007,6.91,0.4,36.02,91.804545,45.52,1
Nicaragua,2008,5.42,7.11,59.28,85.21579703,39.77,1
Nicaragua,2009,1.85,-5.25,57.68,66.88421814,36.09,0
Nicaragua,2010,1.82,-6.47,55.72,69.20492726,47,0
Nicaragua,2011,6.87,4.1,42.64,88.8133196,40.72,1
Nicaragua,2012,3.13,-6.89,30.56,75.25481577,39.91,0
Nicaragua,2013,3.68,2.99,59.09,72.7943256,56.86,0
