dataverse,article,date,year,journal
AJPS,Why Compete for Firms?: Electoral Effects of Corporate Headquarters Relocation,02/05/2023,2023,ajps
AJPS,Ideological Asymmetries and the Determinants of Politically Motivated Reasoning,01/05/2023,2023,ajps
AJPS,Keeping or Building Peace? UN Peace Operations Beyond the Security Dilemma,26/04/2023,2023,ajps
AJPS,"Victim or Threat? Shipwrecks, Terrorist Attacks and Asylum Decisions in France",25/04/2023,2023,ajps
AJPS,"Is Affective Polarization Driven by Identity, Loyalty, or Substance?",21/04/2023,2023,ajps
AJPS,Ethnic Visibility,05/04/2023,2023,ajps
AJPS,Bureaucratic Structure and Compliance with International Agreements,04/04/2023,2023,ajps
AJPS,The Fortification Dilemma: Border Control and Rebel Violence,30/03/2023,2023,ajps
AJPS,Climate Cascades: IOs and the Prioritization of Climate Action,27/03/2023,2023,ajps
AJPS,Border Anxiety in International Discourse,07/03/2023,2023,ajps
AJPS,No Entry in a Pandemic: Public Support for Border Closures,21/02/2023,2023,ajps
AJPS,The Effect of Sustained Transparency on Electoral Accountability,21/02/2023,2023,ajps
AJPS,Globalization and Promissory Representation,21/02/2023,2023,ajps
AJPS,Ethnonationalist Gender Norms: How Parties Shape Voter Attitudes to Women Candidates in India,15/02/2023,2023,ajps
AJPS,Testing the Benefits of Public Deliberation,14/02/2023,2023,ajps
AJPS,Replication data for: Detecting and Deterring Information Search in Online Surveys,09/02/2023,2023,ajps
AJPS,Replication Files for: Modeling Theories of Women's Underrepresentation in Elections,08/02/2023,2023,ajps
AJPS,"Target, Information, and Trade Preferences: Evidence from Survey Experiment in East Asia",07/02/2023,2023,ajps
AJPS,Institutional Quality Causes Generalised Trust: Experimental Evidence on Trusting Under the Shadow of Doubt,03/02/2023,2023,ajps
AJPS,Keyword Assisted Topic Models,31/01/2023,2023,ajps
AJPS,"Aid, Attitudes and Insurgency: Evidence from Development Projects in Northern Afghanistan",17/01/2023,2023,ajps
AJPS,One More Time? Parties’ Repeated Electoral Entry in Younger Democracies,11/01/2023,2023,ajps
AJPS,Retaining Political Talent: A Candidate-Centered Theory of Primary Adoption,09/01/2023,2023,ajps
AJPS,The Preference for Reciprocity in Congress,06/01/2023,2023,ajps
AJPS,"Terrorism, Trust, and Identity: Evidence from a Natural Experiment in Nigeria",19/12/2022,2022,ajps
AJPS,Does Relative Deprivation Condition the Effects of Social Protection Programs on Political Support? Experimental Evidence from Pakistan,09/12/2022,2022,ajps
AJPS,How Politicians Learn from Citizens' Feedback: The Case of Gender on Twitter,06/12/2022,2022,ajps
AJPS,Bicameralism and Policy Responsiveness to Public Opinion,29/11/2022,2022,ajps
AJPS,"Attacks without Consequence? Candidates, Parties, Groups, and the Changing Face of Negative Advertising",29/11/2022,2022,ajps
AJPS,Can Online Civic Education Induce Democratic Citizenship? Experimental Evidence from a New Democracy,14/11/2022,2022,ajps
AJPS,"Terrorist Attacks, Cultural Incidents, and the Vote for Radical Parties: Analyzing Text from Twitter",10/11/2022,2022,ajps
AJPS,Sexism and the Far-Right Vote: The Individual Dynamics of Gender Backlash,04/11/2022,2022,ajps
AJPS,"How Patronage Delivers: Political Appointments, Bureaucratic Accountability, and Service Delivery in Brazil",02/11/2022,2022,ajps
AJPS,Banklash: How Media Coverage of Bank Scandals Moves Mass Preferences on Financial Regulation,11/10/2022,2022,ajps
AJPS,"Forced Migration, Staying Minorities, and New Societies: Evidence From Post-war Czechoslovakia",03/10/2022,2022,ajps
AJPS,Replication data for: What the Demolition of Public Housing Teaches Us About the Impact of Racial Threat on Political Behavior,03/10/2022,2022,ajps
AJPS,Public Opinion and Presidents' Unilateral Policy Agendas,13/09/2022,2022,ajps
AJPS,"Rebel Capacity, Intelligence Gathering, and Combat Tactics",09/09/2022,2022,ajps
AJPS,Global Economic Integration and Nativist Politics in Emerging Economies,26/08/2022,2022,ajps
AJPS,How Economic Informality Constrains Demand for Programmatic Policy,11/08/2022,2022,ajps
AJPS,Military Culture and Institutional Trust: Evidence from Conscription Reforms in Europe,09/08/2022,2022,ajps
AJPS,Cleavage Identities in Voters’ Own Words: Harnessing Open-Ended Survey Responses,08/08/2022,2022,ajps
AJPS,Demolition and Discontent: Governing the Authoritarian City,02/08/2022,2022,ajps
AJPS,How the Party Commands the Gun: The Foreign-Domestic Threat Dilemma in China,29/07/2022,2022,ajps
AJPS,Can Close Election Regression Discontinuity Designs Identify Effects of Winning Politician Characteristics?,26/07/2022,2022,ajps
AJPS,Money Can’t Buy You Love: Partisan Responses to Vote-Buying Offers in Modern Democracy,19/07/2022,2022,ajps
AJPS,"Discrimination, Inclusion, and Anti-System Attitudes among Muslims in Germany",17/06/2022,2022,ajps
AJPS,Time in Office and the Changing Gender Gap in Dishonesty: Evidence from Local Politics in India,09/06/2022,2022,ajps
AJPS,Do Immigrants Move to Welfare? Subnational Evidence from Switzerland,09/06/2022,2022,ajps
AJPS,Who Controls the Past: Endogenous Status Quo and Change in International Regimes,02/06/2022,2022,ajps
AJPS,Career Concerns and the Dynamics of Electoral Accountability,01/06/2022,2022,ajps
AJPS,The Legacy of Political Violence across Generations,10/05/2022,2022,ajps
AJPS,Crowd Cohesion and Protest Outcomes,04/05/2022,2022,ajps
AJPS,"Campaign Messages, Polling, and Elections: Theory and Experimental Evidence",02/05/2022,2022,ajps
AJPS,A Practical Guide to Counterfactual Estimators for Causal Inference with Time-Series Cross-Sectional Data,02/05/2022,2022,ajps
AJPS,When and Why Are Campaigns' Persuasive Effects Small? Evidence from the 2020 US Presidential Election,02/05/2022,2022,ajps
AJPS,Politicians’ Private Sector Jobs and Parliamentary Behavior,26/04/2022,2022,ajps
AJPS,Learning to Be Unbiased: Evidence From the French Asylum Office,11/04/2022,2022,ajps
AJPS,Does Affective Polarization Undermine Democratic Norms or Accountability? Maybe Not,11/04/2022,2022,ajps
AJPS,How Threats of Exclusion Mobilize Palestinian Political Participation,05/04/2022,2022,ajps
AJPS,How Norms Shape the Nature of Belief Systems in Mass Publics,31/03/2022,2022,ajps
AJPS,In Strongman We Trust: The Political Legacy of the New Village Movement in South Korea,23/03/2022,2022,ajps
AJPS,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting",22/03/2022,2022,ajps
AJPS,What Do We Learn About Voter Preferences from Conjoint Experiments?,22/03/2022,2022,ajps
AJPS,Antagonistic Cooperation: Factional Competition in the Shadow of Elections,18/03/2022,2022,ajps
AJPS,The Psychology of Coercion Failure: How Reactance Explains Resistance to Threats,17/03/2022,2022,ajps
AJPS,Abstraction and Detail in Experimental Design,15/03/2022,2022,ajps
AJPS,Corporate Board Quotas and Gender Equality Policies in the Workplace,10/03/2022,2022,ajps
AJPS,The Electoral Consequences of Household Indebtedness Under Austerity,07/03/2022,2022,ajps
AJPS,"Boundaries of Solidarity: Immigrants, Economic Contributions, and Welfare Attitudes",24/02/2022,2022,ajps
AJPS,Roadblocks: How Property Rights Undermine Development in Colombia,23/02/2022,2022,ajps
AJPS,The Variable Persuasiveness of Political Rhetoric,21/01/2022,2022,ajps
AJPS,Entertaining Beliefs in Economic Mobility,13/01/2022,2022,ajps
AJPS,Policy Networks Across Political Systems,04/01/2022,2022,ajps
AJPS,Parliamentary Constraints and Long-term Development: Evidence from the Duchy of Württemberg,04/01/2022,2022,ajps
AJPS,Risk Aversion and the Gender Gap in the Vote for Populist Radical Right Parties,10/12/2021,2021,ajps
AJPS,"When Does Transparency Improve Institutional Performance? Evidence from 20,000 Projects in 183 Countries",10/12/2021,2021,ajps
AJPS,Qualitative Imputation of Missing Potential Outcomes,10/12/2021,2021,ajps
AJPS,The Political Consequences of External Economic Shocks: Evidence from Poland,06/12/2021,2021,ajps
AJPS,A Dynamic Measure of Bureaucratic Reputation: New Data for New Theory,02/12/2021,2021,ajps
AJPS,How Terrorism Does (and Does Not) Affect Citizens’ Political Attitudes: A Meta-Analysis,19/11/2021,2021,ajps
AJPS,Winners’ Consent? Citizen Commitment to Democracy when Illiberal Candidates Win Elections,05/11/2021,2021,ajps
AJPS,Party Nomination Strategies in List Proportional Representation Systems,05/11/2021,2021,ajps
AJPS,International Status Concerns and Domestic Support for Political Leaders,01/11/2021,2021,ajps
AJPS,The Timing of Public Policies: Political Budget Cycles and Credit Claiming,27/10/2021,2021,ajps
AJPS,Replication data for: Border Orientation in a Globalizing World,20/10/2021,2021,ajps
AJPS,"Who Answers for the Government? Bureaucrats, Ministers, and Responsible Parties",14/10/2021,2021,ajps
AJPS,Media Attention and Strategic Timing in Politics: Evidence from U.S. Presidential Executive Orders,13/10/2021,2021,ajps
AJPS,Does Criminalizing Torture Deter Police Torture?,13/10/2021,2021,ajps
AJPS,Matching Methods for Causal Inference with Time-Series Cross-Section Data,13/10/2021,2021,ajps
AJPS,Party Elite Engagement and Coordination in House Primary Elections: A Test of Theories of Parties,08/10/2021,2021,ajps
AJPS,Sleeping with the Enemy: Effective Representation Under Dynamic Electoral Competition,08/10/2021,2021,ajps
AJPS,Replication materials for: A Priori Bounds on Legislative Bargaining Agreements,05/10/2021,2021,ajps
AJPS,"Who Rallies Around the Flag? Nationalist Parties, National Security, and the 2019 Indian Election",28/09/2021,2021,ajps
AJPS,Campaign Finance Transparency Affects Legislators’ Election Outcomes and Behavior,24/09/2021,2021,ajps
AJPS,"Racial Identity, Group Consciousness, and Attitudes: A Framework for Assessing Multiracial Self-Classification",13/09/2021,2021,ajps
AJPS,Reference Points and Democratic Backsliding,13/09/2021,2021,ajps
AJPS,Retribution or Reconciliation? Post-Conflict Attitudes Toward Enemy Collaborators,13/09/2021,2021,ajps
AJPS,Religious Protection from Populist Violence: The Catholic Church and the Philippine Drug War,02/09/2021,2021,ajps
AJPS,"Democracy by Deterrence: Norms, Constitutions, and Electoral Tilting",31/08/2021,2021,ajps
AJPS,Framing Unpopular Foreign Policies,30/08/2021,2021,ajps
AJPS,Can Democratic Principles Protect High Courts from Partisan Backlash? Public Reactions to the Kenyan Supreme Court’s Role in the 2017 Election Crisis,20/08/2021,2021,ajps
AJPS,Observational Equivalence in Explaining Attitude Change: Have White Racial Attitudes Genuinely Changed?,19/08/2021,2021,ajps
AJPS,Can Descriptive Representation Help The Right Win Votes From The Poor? Evidence From Brazil,16/08/2021,2021,ajps
AJPS,"Democratization, Elections, and Public Goods: The Evidence from Deforestation",28/07/2021,2021,ajps
AJPS,"Partisanship, Economic Assessments, and Presidential Accountability",26/07/2021,2021,ajps
AJPS,The Effect of Core Values on Support for Electoral Reform: Evidence from Two Survey Experiments,20/07/2021,2021,ajps
AJPS,Which Narrative Strategies Durably Reduce Prejudice? Evidence From Field and Survey Experiments Supporting the Efficacy of Perspective-Getting,16/07/2021,2021,ajps
AJPS,Good Times and Bad Apples: Rebel Recruitment in Crackdown and Truce,13/07/2021,2021,ajps
AJPS,Mobilizing the Underrepresented: Electoral Systems and Gender Inequality in Political Participation,12/07/2021,2021,ajps
AJPS,Measuring Agenda Setting in Interactive Political Communication,07/07/2021,2021,ajps
AJPS,When Do UN Peacekeeping Operations Implement Their Mandates?,22/06/2021,2021,ajps
AJPS,Pliable Prejudice: The Case of Welfare,03/06/2021,2021,ajps
AJPS,Strategic Authoritarianism: The Political Cycles and Selectivity of China’s Tax-Break Policy,03/06/2021,2021,ajps
AJPS,Strength in Numbers: How Women's Groups Close India's Political Gender Gap,03/06/2021,2021,ajps
AJPS,City-State Ideological Incongruence and Municipal Preemption,29/05/2021,2021,ajps
AJPS,Metrics Management and Bureaucratic Accountability: Evidence from Policing,25/05/2021,2021,ajps
AJPS,Indecent Disclosures: Anti-Corruption Reforms and Political Selection,19/05/2021,2021,ajps
AJPS,Measuring Attitudes Toward Public Spending Using a Multivariate Tax Summary Experiment,12/05/2021,2021,ajps
AJPS,UN Peacekeeping and Households' Well-Being in Civil Wars,12/05/2021,2021,ajps
AJPS,Causal Inference with Latent Treatments,07/05/2021,2021,ajps
AJPS,Parties as Disciplinarians: Charisma and Commitment Problems in Programmatic Campaigning,05/05/2021,2021,ajps
AJPS,"Conflict, Protection, and Punishment: Repercussions of Violence in Eastern DR Congo",28/04/2021,2021,ajps
AJPS,Talking Shops: The Effects of Caucus Discussion on Policy Coalitions,28/04/2021,2021,ajps
AJPS,Censorship and the Impact of Repression on Dissent,19/04/2021,2021,ajps
AJPS,"Redemption through Rebellion: Border Change, Lost Unity and Nationalist Conflict",19/04/2021,2021,ajps
AJPS,A Social Policy Theory of Everyday Borrowing. On the Role of Welfare States and Credit Regimes,15/04/2021,2021,ajps
AJPS,The Nature of Affective Polarization: Disentangling Policy Disagreement from Partisan Identity,14/04/2021,2021,ajps
AJPS,The Hijab Penalty: Feminist Backlash to Muslim Immigrants,14/04/2021,2021,ajps
AJPS,Change We Can Believe In: Structural and Content Dynamics within Belief Networks,13/04/2021,2021,ajps
AJPS,Public Money Talks Too: How Public Campaign Financing Degrades Representation,05/04/2021,2021,ajps
AJPS,How to Measure Legislative District Compactness If You Only Know It When You See It,22/03/2021,2021,ajps
AJPS,"Gridlock, Bureaucratic Control, and Nonstatutory Policymaking in Congress",22/03/2021,2021,ajps
AJPS,Do Female Officers Police Differently? Evidence from Traffic Stops,15/03/2021,2021,ajps
AJPS,Partisan-Motivated Evaluations of Sexual Misconduct and the Mitigating Role of the #MeToo Movement,15/03/2021,2021,ajps
AJPS,The Organizational Voter: Support for New Parties in Young Democracies,05/03/2021,2021,ajps
AJPS,All the President's Justices? The Impact of Presidential Copartisanship on Supreme Court Job Approval,05/03/2021,2021,ajps
AJPS,American Politics in Two Dimensions: Partisan and Ideological Identities Versus Anti-Establishment Orientations,05/03/2021,2021,ajps
AJPS,Threat-Inducing Violent Events Exacerbate Social Desirability Bias in Survey Responses,26/02/2021,2021,ajps
AJPS,The Geography of Repression and Opposition to Autocracy,22/02/2021,2021,ajps
AJPS,When Issue Salience Affects Adjudication: Evidence from Swiss Asylum Appeal Decisions,22/02/2021,2021,ajps
AJPS,Local Immigration and Support for Anti-Immigration Parties: A Meta-Analysis,12/02/2021,2021,ajps
AJPS,When State Building Backfires: Elite Coordination and Popular Grievance in Rebellion,10/02/2021,2021,ajps
AJPS,Positive Spillovers from Negative Campaigning,26/01/2021,2021,ajps
AJPS,Decentralization Can Increase Cooperation Among Public Officials,08/01/2021,2021,ajps
AJPS,"Attitudes toward the Use of Force: Instrumental Imperatives, Moral Principles, and International Law",07/01/2021,2021,ajps
AJPS,Congressional Representation: Accountability from the Constituent’s Perspective,06/01/2021,2021,ajps
AJPS,Making Unequal Democracy Work? The Effects of Income on Voter Turnout in Northern Italy,05/01/2021,2021,ajps
AJPS,"Brokers, Social Networks, Reciprocity, and Clientelism",04/01/2021,2021,ajps
AJPS,When Diversity Works: The Effects of Coalition Composition on the Success of Lobbying Coalitions,04/01/2021,2021,ajps
AJPS,Direct Democracy and Women's Political Engagement,04/01/2021,2021,ajps
AJPS,"Ascriptive Characteristics and Perceptions of Impropriety in the Rule of Law: Race, Gender, and Public Assessments of Whether Judges Can Be Impartial",04/01/2021,2021,ajps
AJPS,Adaptive Experimental Design: Prospects and Applications in Political Science,16/12/2020,2020,ajps
AJPS,Do Campaign Contribution Limits Curb the Influence of Money in Politics?,11/12/2020,2020,ajps
AJPS,Hate Crimes and Gender Imbalances: Fears over Mate Competition and Violence against Refugees,09/12/2020,2020,ajps
AJPS,Political Determinants of Economic Exchange: Evidence from a Business Experiment in Senegal,04/12/2020,2020,ajps
AJPS,How Does Minority Political Representation Affect School District Administration and Student Outcomes?,25/11/2020,2020,ajps
AJPS,(Almost) Everything in Moderation: New Evidence on Americans' Online Media Diets,25/11/2020,2020,ajps
AJPS,Presidential Approval and the Inherited Economy,25/11/2020,2020,ajps
AJPS,Able and Mostly Willing: An Empirical Anatomy of Information's Effect on Voter-Driven Accountability in Senegal,17/11/2020,2020,ajps
AJPS,Channels for Influence or Maps of Behavior? A Field Experiment on Social Networks and Cooperation,06/11/2020,2020,ajps
AJPS,The Side Effects of Central Bank Independence,03/11/2020,2020,ajps
AJPS,Strategic Allocation of Irrevocable and Durable Benefits,29/10/2020,2020,ajps
AJPS,"Thinking About Government Authority: Constitutional Rules and Political Context in Citizens’ Assessments of Judicial, Legislative, and Executive Action",28/10/2020,2020,ajps
AJPS,The Unequal Distribution of Opportunity: A National Audit Study of Bureaucratic Discrimination in Primary School Access,28/10/2020,2020,ajps
AJPS,Re-Assessing Elite-Public Gaps in Political Behavior,28/10/2020,2020,ajps
AJPS,Capital Meets Democracy: The Impact of Franchise Extension on Sovereign Bond Markets,28/10/2020,2020,ajps
AJPS,How Political Parties Shape Public Opinion in the Real World,27/10/2020,2020,ajps
AJPS,"How War Changes Land: Soil Fertility, Unexploded Bombs, and the Underdevelopment of Cambodia",26/10/2020,2020,ajps
AJPS,"Courting Informal Workers: Exclusion, Forbearance, and the Left",23/10/2020,2020,ajps
AJPS,An Empirical Validation Study of Popular Survey Methodologies for Sensitive Questions,19/10/2020,2020,ajps
AJPS,Deepening or Diminishing Ethnic Divides? The Impact of Urban Migration in Kenya,12/10/2020,2020,ajps
AJPS,District Magnitude and Female Representation: Evidence from Argentina and Latin America,08/10/2020,2020,ajps
AJPS,Father Founders: Did Child Gender Affect Voting at the Constitutional Convention?,29/09/2020,2020,ajps
AJPS,Public Infrastructure and Economic Development: Evidence from Postal Systems,23/09/2020,2020,ajps
AJPS,"Partisan Procurement: Contracting with the United States Federal Government, 2003–2015",23/09/2020,2020,ajps
AJPS,Exposure and Preferences: Evidence from Indian Slums,18/09/2020,2020,ajps
AJPS,"Ideology, Not Affect: What Americans Want From Political Representation",18/09/2020,2020,ajps
AJPS,Bringing War Back In: Victory and State Formation in Latin America,10/09/2020,2020,ajps
AJPS,Policy Deliberation and Voter Persuasion: Experimental Evidence from an Election in the Philippines,27/08/2020,2020,ajps
AJPS,Policing the Organizational Threat in Morocco: Protest and Public Violence in Liberal Autocracies,26/08/2020,2020,ajps
AJPS,Does Transparency Inhibit Political Compromise?,24/08/2020,2020,ajps
AJPS,Replication data for: Multidimensional Representation,14/08/2020,2020,ajps
AJPS,The Economic Consequences of Partisanship in a Polarized Era,07/08/2020,2020,ajps
AJPS,Paper Cuts: How Reporting Resources Affect Political News Coverage,29/07/2020,2020,ajps
AJPS,Executive Accountability Beyond Outcomes: Experimental Evidence on Public Evaluations of Powerful Prime Ministers,21/07/2020,2020,ajps
AJPS,Earned Income and Women's Segmented Empowerment: Experimental Evidence from Jordan,17/07/2020,2020,ajps
AJPS,People Haven’t Had Enough of Experts: Technocratic Attitudes Among Citizens in Nine European Democracies,07/07/2020,2020,ajps
AJPS,Candidate Supply is Not a Barrier to Immigrant Representation: A Case–Control Study,06/07/2020,2020,ajps
AJPS,Gender Quotas and International Reputation,06/07/2020,2020,ajps
AJPS,What Motivates Reasoning? A Theory of Goal-Dependent Political Evaluation,02/07/2020,2020,ajps
AJPS,Do Politicians Discriminate Against Internal Migrants? Evidence from Nationwide Field Experiments in India,23/06/2020,2020,ajps
AJPS,The Divide Over Independence: Explaining Preferences for Secession in an Advanced Open Economy,16/06/2020,2020,ajps
AJPS,Judicial Reshuffles and Women Justices in Latin America,08/06/2020,2020,ajps
AJPS,Trade and Political Fragmentation on the Silk Roads: The Economic Effects of Historical Exchange between China and the Muslim East,04/06/2020,2020,ajps
AJPS,Media Influence on Vote Choices: Unemployment News and Incumbents' Electoral Prospects,26/05/2020,2020,ajps
AJPS,Labor Unions and White Racial Politics,08/05/2020,2020,ajps
AJPS,Partisan Gaps in Political Information and Information-Seeking Behavior: Motivated Reasoning or Cheerleading?,01/05/2020,2020,ajps
AJPS,Helping Friends or Influencing Foes: Electoral and Policy Effects of Campaign Finance Contributions,24/04/2020,2020,ajps
AJPS,Does Economic Inequality Drive Voters’ Disagreement about Party Placement?,16/04/2020,2020,ajps
AJPS,"Democratization and Representative Bureaucracy: An Analysis of Promotion Patterns in Indonesia's Civil Service, 1980-2015",14/04/2020,2020,ajps
AJPS,How Settlement Locations and Local Networks Influence Immigrant Political Integration,08/04/2020,2020,ajps
AJPS,Pleasing the Principal: U.S. Influence in World Bank Policymaking,08/04/2020,2020,ajps
AJPS,I Get By With a Little Help from My Friends: Leveraging Campaign Resources to Maximize Congressional Power,03/04/2020,2020,ajps
AJPS,Adjusting for Confounding with Text Matching,24/03/2020,2020,ajps
AJPS,Misgovernance and Human Rights: The Case of Illegal Detention without Intent,09/03/2020,2020,ajps
AJPS,Supply Chain Linkages and the Extended Carbon Coalition,06/03/2020,2020,ajps
AJPS,Literacy and State–Society Interactions in Nineteenth-Century France,02/03/2020,2020,ajps
AJPS,"Winning Hearts and Minds in Civil Wars: Governance, Leadership Change, and Support for Violent Groups in Iraq",28/02/2020,2020,ajps
AJPS,The Dynamic American Dream,25/02/2020,2020,ajps
AJPS,Policy Diffusion: The Issue-Definition Stage,24/02/2020,2020,ajps
AJPS,State Visits and Leader Survival,20/02/2020,2020,ajps
AJPS,"If They Endorse It, I Can't Trust It: How Outgroup Leader Endorsements Undercut Public Support for Civil War Peace Settlements",10/02/2020,2020,ajps
AJPS,A Choice-Based Measure of Issue Importance in the Electorate,03/02/2020,2020,ajps
AJPS,Does Public Opinion Affect Political Speech?,30/01/2020,2020,ajps
AJPS,How Markets Shape Values and Political Preferences: A Field Experiment,29/01/2020,2020,ajps
AJPS,Effectiveness of Connected Legislators,24/01/2020,2020,ajps
AJPS,How Weakly Institutionalized Parties Monitor Brokers in Developing Democracies: Evidence from Postconflict Liberia,21/01/2020,2020,ajps
AJPS,To Repress or to Co-opt? Authoritarian Control in the Age of Digital Surveillance,17/01/2020,2020,ajps
AJPS,Policy Inventing and Borrowing among State Legislatures,17/01/2020,2020,ajps
AJPS,At-Large Elections and Minority Representation in Local Government,17/01/2020,2020,ajps
AJPS,Elite Interactions and Voters’ Perceptions of Parties’ Policy Positions,09/01/2020,2020,ajps
AJPS,Do Gender Quotas Hurt Less Privileged Groups? Evidence From India,09/01/2020,2020,ajps
AJPS,The Real Winner's Curse,19/12/2019,2019,ajps
AJPS,Repression Technology: Internet Accessibility and State Violence,19/12/2019,2019,ajps
AJPS,Beyond the Unit Root Question: Uncertainty and Inference,16/12/2019,2019,ajps
AJPS,Identity as Dependent Variable: How Americans Shift Their Identities to Align With Their Politics,12/12/2019,2019,ajps
AJPS,Party Sub-Brands and American Party Factions,26/11/2019,2019,ajps
AJPS,When Do Leaders Free-Ride? Business Experience and Contributions to Collective Defense,26/11/2019,2019,ajps
AJPS,"Sometimes Less Is More: Censorship, News Falsification, and Disapproval in 1989 East Germany",25/11/2019,2019,ajps
AJPS,Fault Lines: The Effects of Bureaucratic Power on Electoral Accountability,15/11/2019,2019,ajps
AJPS,"Electoral Institutions and Electoral Cycles in Investment Incentives: A Field Experiment on Over 3,000 U.S. Municipalities",13/11/2019,2019,ajps
AJPS,When Do Displaced Persons Return? Postwar Migration among Christians in Mount Lebanon,12/11/2019,2019,ajps
AJPS,Does Affirmative Action Worsen Bureaucratic Performance? Evidence from the Indian Administrative Service,06/11/2019,2019,ajps
AJPS,The Policy Basis of Measured Partisan Animosity in the United States,06/11/2019,2019,ajps
AJPS,Unprincipled Principals: Co-opted Bureaucrats and Corruption in Ghana,31/10/2019,2019,ajps
AJPS,Can Terrorism Abroad Influence Migration Attitudes at Home?,23/10/2019,2019,ajps
AJPS,Bureaucratic Responsiveness to LGBT Americans,16/10/2019,2019,ajps
AJPS,Does the @realDonaldTrump Really Matter to Financial Markets?,16/10/2019,2019,ajps
AJPS,Victorian Voting: The Origins of Party Orientation and Class Alignment,14/10/2019,2019,ajps
AJPS,Universal Love or One True Religion? Experimental Evidence of the Ambivalent Effect of Religious Ideas on Altruism and Discrimination,10/10/2019,2019,ajps
AJPS,Online Tallies and the Context of Politics: How Online Tallies Make Dominant Candidates Appear Competent in Contexts of Conflict,07/10/2019,2019,ajps
AJPS,Happiness and Voting: Evidence from Four Decades of Elections in Europe,01/10/2019,2019,ajps
AJPS,When Do Campaign Effects Persist for Years? Evidence from a Natural Experiment,30/09/2019,2019,ajps
AJPS,The Declining Value of Revolving-Door Lobbyists: Evidence from the American States,27/09/2019,2019,ajps
AJPS,Moderation and Competence: How a Party’s Ideological Position Shapes Its Valence Reputation,11/09/2019,2019,ajps
AJPS,Strategic Candidate Entry and Congressional Elections in the Era of Fox News,05/09/2019,2019,ajps
AJPS,The Political Importance of Financial Performance,04/09/2019,2019,ajps
AJPS,Offsetting Uncertainty: Reassurance with Two-Sided Incomplete Information,28/08/2019,2019,ajps
AJPS,"Donors, Primary Elections, and Polarization in the United States",26/08/2019,2019,ajps
AJPS,Why Underachievers Dominate Secret Police Organizations: Evidence from Autocratic Argentina,23/08/2019,2019,ajps
AJPS,The Mobilizing Effect of Parties' Moral Rhetoric,23/08/2019,2019,ajps
AJPS,It Takes a Village: Peer Effects and Externalities in Technology Adoption,07/08/2019,2019,ajps
AJPS,"The Incidental Pundit: Who Talks Politics with Whom, and Why?",07/08/2019,2019,ajps
AJPS,Measuring Trade Profile with Granular Product-level Data,02/08/2019,2019,ajps
AJPS,"Cultivating Clients: Reputation, Responsiveness, and Ethnic Indifference in India’s Slums",01/08/2019,2019,ajps
AJPS,Do Voters Polarize When Radical Parties Enter Parliament?,30/07/2019,2019,ajps
AJPS,Land Reform and Civil Conflict: Theory and Evidence from Peru,30/07/2019,2019,ajps
AJPS,Alien Citizens and the Canonical Immigrant: Do Stigmatized Attributes Affect Latina/o Judgment about Discrimination?,29/07/2019,2019,ajps
AJPS,"The Party's Primary Preferences: Race, Gender, and Party Support of Congressional Primary Candidates",22/07/2019,2019,ajps
AJPS,Do Inheritance Customs Affect Political and Social Inequality,18/07/2019,2019,ajps
