pais,año,desempleo,gini,crecimiento,liberalizacion_economica,gobierno_izquierda
chile,2020,11.06,46.12,0.52,58.48,0
colombia,1990,11.38,34.16,2.69,18.19,1
colombia,1991,5.64,45.46,6.68,60.19,0
colombia,1992,11.86,31.23,-2.97,27.86,0
colombia,1993,9.7,46.03,-0.73,89.42,0
colombia,1994,10.98,45.1,3.28,3.93,0
colombia,1995,11.57,45.35,-3.12,37.73,0
colombia,1996,7.23,38.31,4.67,74.83,0
colombia,1997,13.27,57.72,-2.17,76,1
colombia,1998,9.72,43.88,3.97,3.67,1
colombia,1999,7.93,55.33,4,3.05,1
colombia,2000,8.01,43.42,1.39,24.25,0
colombia,2001,9.31,46.92,5.09,8.92,1
colombia,2002,10.1,33.59,5.69,59.36,1
colombia,2003,6.83,44.39,2.01,73.68,0
colombia,2004,10.96,52.36,0.18,12.76,0
colombia,2005,12.31,48.23,-2.07,49.82,1
colombia,2006,12.48,48.17,-2.15,10.18,1
colombia,2007,10.45,55.52,-3.95,80.59,1
colombia,2008,14.18,56.9,-4.04,52.45,1
colombia,2009,15.82,57.52,-4.94,97.51,1
colombia,2010,5.57,35.13,3.02,92.94,0
colombia,2011,16.95,55.16,-2.54,96.8,1
colombia,2012,10.83,42.76,1.09,24.24,0
colombia,2013,10.5,32.62,1.07,93.2,0
colombia,2014,17.12,45.98,-4.38,33.66,1
colombia,2015,11.05,36.05,3.21,8.79,0
colombia,2016,10.96,50.45,4.12,59.56,1
colombia,2017,9.07,33.2,5.21,74.6,1
colombia,2018,10.24,33.73,3.77,93.83,1
colombia,2019,12.37,51.65,-4.42,78.15,0
colombia,2020,10.69,53.86,-2.58,16.37,0
costa rica,1990,6.94,49.01,5.89,31.62,1
costa rica,1991,9,41.77,4.8,43.91,1
costa rica,1992,11.05,46.19,0.26,57.75,0
costa rica,1993,12.1,56.99,-0.39,54.36,1
costa rica,1994,9.81,42.95,-1.01,73.05,1
costa rica,1995,9.5,34.18,4.53,62.01,1
costa rica,1996,9.96,59.93,4.03,70.7,0
costa rica,1997,16.72,52.32,-4.6,56.99,1
costa rica,1998,9.08,33.09,1.44,37.88,0
costa rica,1999,6.28,33.82,-0.23,79.73,0
costa rica,2000,13.83,53.16,-4.85,59.84,1
costa rica,2001,11.02,46.28,-1.98,34.57,0
costa rica,2002,10.44,36.82,0.08,28.79,0
costa rica,2003,10.08,34.6,2.03,50.59,0
costa rica,2004,10.86,47.79,-3.77,91.88,0
costa rica,2005,8.46,57.67,3.49,15.25,1
costa rica,2006,11.97,32.32,-3.75,84.04,0
costa rica,2007,14.31,43.53,-3.64,98.48,1
costa rica,2008,10.17,39.96,-1.26,22.74,0
costa rica,2009,14.82,41.97,-4.34,33.52,1
costa rica,2010,13.49,33.43,-0.03,86.35,1
costa rica,2011,9.84,40.39,-0.84,73.75,0
costa rica,2012,12.84,57.38,-2.02,57.76,1
costa rica,2013,5.05,42.57,5.98,36.24,0
costa rica,2014,8.21,36.38,1.18,97.55,0
costa rica,2015,9.15,34.46,-0.02,8.53,0
costa rica,2016,10.27,39.3,-0.23,42.68,1
costa rica,2017,13.15,56.94,-2.54,19.07,0
costa rica,2018,11.79,47.62,-1.47,71.41,1
costa rica,2019,10.79,45.73,0.29,40.08,1
costa rica,2020,14.31,40.03,-4.09,75.32,1
cuba,1990,7.98,38.12,2.73,40.87,0
cuba,1991,12.71,46.55,-1.95,19.61,0
cuba,1992,12.47,30.59,-3.75,79.99,0
cuba,1993,10.17,51.62,4.66,98.87,1
cuba,1994,6.61,55.67,4.96,39.72,0
cuba,1995,10.79,39.72,-3.96,63.32,0
cuba,1996,16.36,36.24,-4.68,18.14,1
cuba,1997,9.94,57.32,2.5,33.59,0
cuba,1998,10.53,41.39,2.08,26.81,0
cuba,1999,7.3,40.88,5.33,21.95,1
cuba,2000,13.46,52.91,-3.32,86.85,1
cuba,2001,10.01,35.46,0.82,51.25,0
cuba,2002,8.44,46.25,2.6,25.79,1
cuba,2003,9.3,33.97,5.81,69.12,0
cuba,2004,6.78,30.55,5.97,11.78,1
cuba,2005,9.41,42.16,0.97,72.02,0
cuba,2006,12.15,30.33,-3.36,90,1
cuba,2007,10.71,48.99,0.93,57.33,0
cuba,2008,12.3,42.56,-0.4,51.89,1
cuba,2009,12.17,35.53,-3.92,77.1,0
cuba,2010,12.04,41.68,-1.54,35.57,0
cuba,2011,13.9,58.48,-0.24,95.41,1
cuba,2012,13.38,51.98,-2.42,3.12,1
cuba,2013,5.7,55.39,6.46,15.47,0
cuba,2014,14.71,53.13,-3.72,7.51,0
cuba,2015,10.13,47.95,0.52,7.59,1
cuba,2016,9.04,53.98,3.34,27.21,1
cuba,2017,5.08,54.22,6.55,79,0
cuba,2018,14.2,43.38,-2.78,54.19,1
cuba,2019,11.22,52.77,3.69,63.72,1
cuba,2020,11.19,37.49,0.87,22.12,1
dominican republic,1990,9.69,31.32,2.06,99.94,1
dominican republic,1991,5.18,47.04,5.99,3.39,0
dominican republic,1992,10.89,33.46,0.06,79.53,0
dominican republic,1993,10.44,55.86,5.13,31.91,1
dominican republic,1994,10.91,40.94,1.73,48.11,0
dominican republic,1995,14.05,50.89,-0.92,72.48,1
dominican republic,1996,8.71,46.15,2.94,73.79,0
dominican republic,1997,8.95,56.58,2.39,23.3,0
dominican republic,1998,13.13,30.01,-2.77,38.4,1
dominican republic,1999,11.21,53.96,6.98,35.07,1
dominican republic,2000,9.16,38.15,-0.22,9.17,0
dominican republic,2001,4.9,42.64,3.85,23.88,0
dominican republic,2002,8.9,55.58,3.59,58.91,1
dominican republic,2003,4.46,30.54,6.85,42.78,0
dominican republic,2004,8.34,58.69,4.58,25.9,1
dominican republic,2005,6.52,42.53,5.55,94.47,0
dominican republic,2006,7.05,42.05,5.05,23.06,0
dominican republic,2007,13.54,45.38,-2.23,17.65,1
dominican republic,2008,13.7,48.89,-2.4,51.83,1
dominican republic,2009,13.5,59.85,-2.91,39.62,1
dominican republic,2010,9.66,56.92,0.56,62.29,0
dominican republic,2011,6.86,46.11,2.12,58.01,1
dominican republic,2012,9.75,38.19,0.72,4.44,1
dominican republic,2013,5.81,55.86,4.71,65.52,0
dominican republic,2014,15.93,37.58,-4.94,69.57,1
dominican republic,2015,13.78,44.88,-4.03,22.02,0
dominican republic,2016,8.29,47.14,2.95,54.38,0
dominican republic,2017,7.22,38.01,5.54,79.74,1
dominican republic,2018,9.88,34.81,-0.99,23.87,0
dominican republic,2019,10.11,50.4,2.42,75.27,0
dominican republic,2020,6.95,30.15,4.84,22.86,0
ecuador,1990,5.94,34.82,4.82,83.21,0
ecuador,1991,11.23,32.52,-1.08,55.98,1
ecuador,1992,7.85,37.79,2.61,54,0
ecuador,1993,10.38,30.55,0.19,84.01,1
ecuador,1994,8.57,48.98,6.18,10.25,1
ecuador,1995,10.87,58.42,-3,77.1,0
ecuador,1996,9.63,47.47,-0.85,62.09,0
ecuador,1997,11.59,49.43,2.13,38.36,0
ecuador,1998,10.5,30.66,-1.12,48.86,0
ecuador,1999,10.43,58.33,-3.77,85.42,0
ecuador,2000,8.42,53.84,3.32,22.08,1
ecuador,2001,9.35,33.94,5.42,96.32,1
ecuador,2002,3.44,42.97,6.32,41.97,0
ecuador,2003,6.93,39.62,3.69,74.58,0
ecuador,2004,12.08,30.93,2.82,36.85,0
ecuador,2005,10.55,34.78,-2.56,9.12,1
ecuador,2006,5.94,53.13,5.14,76.1,0
ecuador,2007,7.44,57.36,6.61,18.55,0
ecuador,2008,14.2,44.45,-3.59,12.52,1
ecuador,2009,9.47,36.77,-3.07,65.15,0
ecuador,2010,7.08,38.07,4.57,31.04,0
ecuador,2011,9.89,50.41,-0.25,97.47,1
ecuador,2012,9.88,38.75,3.34,86.01,1
ecuador,2013,14.15,52.47,-3.25,10.28,1
ecuador,2014,12.68,34.27,0.99,61.82,1
ecuador,2015,11.49,58.24,-4.13,53.42,0
ecuador,2016,15.21,40.52,-4.6,7.86,1
ecuador,2017,12.74,54.64,-4.51,67.04,1
ecuador,2018,11.63,49.09,3.48,3.16,1
ecuador,2019,10.05,38.97,6.22,94.74,1
ecuador,2020,11.53,54.05,-0.93,81.48,0
el salvador,1990,10.32,47.92,4.41,48.09,0
el salvador,1991,11.83,45.79,3.78,8.16,1
el salvador,1992,11.68,44.38,2.39,32.9,1
el salvador,1993,12.45,40.11,-2.81,78.97,0
el salvador,1994,9.42,44.8,-4.02,40.33,0
el salvador,1995,15.98,32.17,-4.63,25.77,1
el salvador,1996,8.79,48.86,3.82,76.77,1
el salvador,1997,8.13,31.2,5.4,57.87,1
el salvador,1998,8.14,48.19,2.17,79.3,0
el salvador,1999,9.23,38.3,2.11,91.24,1
el salvador,2000,9.38,55.08,-2.17,77.6,1
el salvador,2001,9.29,57.27,-2.84,23.75,1
el salvador,2002,10.42,32.07,0.25,9.74,0
el salvador,2003,11.2,43.36,1.18,35.92,1
el salvador,2004,9.06,39.36,-0.21,85.8,0
el salvador,2005,6.28,39.76,4.28,13.09,0
el salvador,2006,8.68,56.51,0.3,33.09,0
el salvador,2007,9.41,40.11,4.95,43.09,1
el salvador,2008,10.59,37.58,-0.69,37.94,0
el salvador,2009,7.52,52.09,2.97,47.46,0
el salvador,2010,13.17,55.93,1.7,53.99,1
el salvador,2011,14.31,38.09,-4.31,53.12,1
el salvador,2012,10.99,36.74,-2.84,8.86,0
el salvador,2013,15.66,45.22,-4.5,14.83,0
el salvador,2014,10.35,30.52,-1.12,97.31,0
el salvador,2015,9.19,43.64,1.19,48.88,1
el salvador,2016,13.6,33.98,-3.28,93.98,1
el salvador,2017,6.83,50.2,6.64,9.39,1
el salvador,2018,10.27,58.9,-1.94,66.16,0
el salvador,2019,8.36,58.34,3.2,49.72,0
el salvador,2020,13.94,53.06,-3.64,79.55,1
guatemala,1990,12.71,50.3,-2.41,65.89,0
guatemala,1991,14.58,40.46,-3.09,60.5,0
guatemala,1992,9.68,59.32,-0.12,87.08,0
guatemala,1993,9.05,33.27,2.81,76.52,1
guatemala,1994,8.37,50.03,4.69,76.23,0
guatemala,1995,10.28,41.27,-1.44,64.91,0
guatemala,1996,11.67,39.74,-0.6,39.62,0
guatemala,1997,7.34,47.89,1.55,44.44,1
guatemala,1998,10.16,32.2,2.24,66.82,1
guatemala,1999,10.08,46.27,6.42,84.72,1
guatemala,2000,9.6,30.77,-0.91,38.02,1
guatemala,2001,11.92,44.3,-0.27,54.94,1
guatemala,2002,7.5,51.54,6.47,1.82,0
guatemala,2003,5.89,32.14,6.46,65.47,0
guatemala,2004,8.36,31.81,6.21,35.16,1
guatemala,2005,8.01,45.69,3.04,92.96,1
guatemala,2006,12.73,46.17,-1.26,61.03,1
guatemala,2007,10.64,54.7,1.27,12.32,1
guatemala,2008,9.87,35.44,1.3,70.9,1
guatemala,2009,12.24,57.53,0.09,8.7,1
guatemala,2010,16.51,46.51,-4.48,63.32,0
guatemala,2011,8.96,53.81,2.76,17.48,0
guatemala,2012,6.73,55.2,5.8,35.34,1
guatemala,2013,5.28,51.96,5.21,67.14,0
guatemala,2014,9.34,32.87,2.49,45.18,1
guatemala,2015,10.22,56.08,0.67,53.54,1
guatemala,2016,7.89,30.71,2.7,60.71,1
guatemala,2017,15.21,48.96,-4.3,14.18,1
guatemala,2018,12.06,34.09,3.34,40.43,1
guatemala,2019,11.43,30.47,-0.91,81.87,1
guatemala,2020,11.55,51.73,1.94,27.42,1
honduras,1990,9.65,47.87,-0.19,36.7,1
honduras,1991,13.22,40.65,-4.17,51.91,1
honduras,1992,11.36,49.21,-1.75,59.28,0
honduras,1993,11.95,45.99,-1.11,33.3,1
honduras,1994,6.54,40.89,6.95,44.64,1
honduras,1995,10.92,31.8,1.75,95.76,0
honduras,1996,11.09,35.11,-0.09,42.27,0
honduras,1997,8.49,52.68,-0.83,66.49,1
honduras,1998,6.74,33.59,6.69,2,1
honduras,1999,8.76,57.81,1.48,84.2,0
honduras,2000,7.68,53.64,5.38,60.85,1
honduras,2001,6.87,53.46,3.5,3.62,0
honduras,2002,8.74,41.43,-0.84,23.91,0
honduras,2003,12.19,39.17,-0.24,44.72,1
honduras,2004,12.29,47,-0.31,50.12,0
honduras,2005,11.28,33.49,4.81,38.06,1
honduras,2006,11.86,34.24,-2.46,81.87,0
honduras,2007,13.38,42.09,-2.92,69.5,1
honduras,2008,9.68,57.98,1.9,47.94,0
honduras,2009,10.22,57.68,0.84,60.63,1
honduras,2010,9.96,58.58,4.9,66.63,1
honduras,2011,14.68,32.05,-4.69,13.52,1
honduras,2012,5.24,58.09,5.51,27.78,0
honduras,2013,10.98,49.22,-2.41,61.96,1
honduras,2014,10.78,46.93,-2.7,21.18,1
honduras,2015,10.74,59.85,-4.31,69.5,0
honduras,2016,6.97,32.24,4.39,26.54,0
honduras,2017,11.45,50.76,-4.25,50.94,0
honduras,2018,12.13,36.62,-2.91,65.57,1
honduras,2019,11.65,42.78,-3.43,88.66,1
honduras,2020,11.55,45.77,0.78,17.69,0
mexico,1990,14.97,53.08,-4.87,41.62,0
mexico,1991,7.52,47.46,3.17,18.97,0
mexico,1992,12.73,36.46,-4.85,24.12,0
mexico,1993,9.2,37.98,2.75,49.93,1
mexico,1994,12.08,32.94,0.86,15,1
mexico,1995,8.22,54.32,2.37,85.96,1
mexico,1996,7.27,53.55,5.71,95.53,0
mexico,1997,14.2,54.27,-4.08,27.94,1
mexico,1998,3,31.15,5.82,46.15,0
mexico,1999,11.22,43.5,-2.28,88.94,0
mexico,2000,11.01,45.55,-3.2,73.74,0
mexico,2001,7.51,31.14,3.95,65.9,0
mexico,2002,11.76,32.14,-4.85,95.65,0
mexico,2003,3,59.75,6.65,94.23,0
mexico,2004,12.05,35.56,-2.91,9.84,1
mexico,2005,7.81,45.44,5.79,78.25,1
mexico,2006,8.96,48.74,-0.42,20.57,0
mexico,2007,4.77,32.08,6.52,47.83,0
mexico,2008,8.69,59.05,4.58,29.28,1
mexico,2009,9.23,57.61,1.25,61.65,1
mexico,2010,10.21,33.84,-0.94,92.81,0
mexico,2011,10.53,46.5,-0.34,16.37,1
mexico,2012,11.81,37.22,-3.54,19.75,1
mexico,2013,12.84,56.38,-1.9,54.4,0
mexico,2014,9.24,52.65,0.53,84.2,1
mexico,2015,11.05,31.62,-1.16,75.32,0
mexico,2016,11.79,58.12,-4.48,16.48,0
mexico,2017,11.39,58.95,0.86,15.07,1
mexico,2018,9.31,51.98,1.51,59.03,1
mexico,2019,12.69,34.55,-3.87,57.72,0
mexico,2020,14.24,52.83,-3.08,46.16,1
nicaragua,1990,13.65,56.44,-1.67,19.4,1
nicaragua,1991,13.68,54,-2.55,55.51,1
nicaragua,1992,13.58,50.64,-0.5,53.87,1
nicaragua,1993,8.68,30.16,4.13,3.53,0
nicaragua,1994,8.62,52.69,5.1,47.03,0
nicaragua,1995,10.83,59.89,-0.58,44.86,1
nicaragua,1996,9.23,34.13,2.96,0.19,0
nicaragua,1997,6.37,30.1,2.44,35.55,0
nicaragua,1998,6.84,56.23,1.12,72.34,0
nicaragua,1999,14.23,47.4,1.74,56.07,1
nicaragua,2000,12.33,48.06,-4.72,32.21,0
nicaragua,2001,14.2,32.31,-4.3,33.42,1
nicaragua,2002,14.08,41.2,-3.53,73.55,0
nicaragua,2003,12.57,32.66,-2.35,59.82,0
nicaragua,2004,14.57,38.98,-2.92,63.76,1
nicaragua,2005,14.92,53.57,-3.58,40.99,1
nicaragua,2006,14.35,58.51,-2.56,56.55,1
nicaragua,2007,16.83,40.04,-4.69,2.42,1
nicaragua,2008,8.47,57.89,4.39,5.61,0
nicaragua,2009,3,42.89,5.47,84.19,0
nicaragua,2010,8.22,58.12,3.47,63.12,1
nicaragua,2011,8.73,51.84,0.96,43.69,0
nicaragua,2012,5.84,41.97,6.07,47.21,0
nicaragua,2013,12.66,32.07,-4.32,28.22,1
nicaragua,2014,4.55,53.61,6.7,37.12,0
nicaragua,2015,8.99,43.49,4.32,6.54,0
nicaragua,2016,15.28,40.38,-1.22,77.19,1
nicaragua,2017,16.08,57,-4.74,66.38,1
nicaragua,2018,7.94,53.63,2.49,49.45,0
nicaragua,2019,7.89,37.7,2.85,19.81,1
nicaragua,2020,4.42,58.41,6.61,18.3,0
panama,1990,12.08,34.54,-2.3,25.1,0
panama,1991,14.23,59.42,-2.27,40.4,0
panama,1992,10.23,32.03,3.49,54.35,1
panama,1993,11.33,42.86,-3.31,66.42,0
panama,1994,8.41,50.07,0.55,41.18,0
panama,1995,13.7,53.61,-3.66,35.6,0
panama,1996,7.53,31.56,4.44,20.14,0
panama,1997,10.67,52.75,4.05,1.79,1
panama,1998,6.8,56.33,5.55,87.06,0
panama,1999,11.44,52.52,1.7,55.25,1
panama,2000,7.18,43.92,5.91,53.87,1
panama,2001,11.95,43.55,-0.23,9.34,0
panama,2002,14.94,58.93,-2.55,52.33,1
panama,2003,9.69,38.29,-1.25,64.27,0
panama,2004,8.82,57.45,1.4,15.8,1
panama,2005,10.7,48.4,-0.64,89.72,0
panama,2006,15.52,59.51,-3.31,20.2,1
panama,2007,11.05,54.61,-1.24,79.86,1
panama,2008,6.56,32.5,5.59,80.36,1
panama,2009,12.11,51.76,-1.12,99.71,1
panama,2010,11.08,42.82,-3.05,1.26,0
panama,2011,6.83,41.37,6.68,33.68,0
panama,2012,8.61,54.57,1.49,71.02,1
panama,2013,10.23,37.63,4.83,87.98,1
panama,2014,8.48,35.21,3.54,82.6,1
panama,2015,10.14,57.16,3.88,19.13,0
panama,2016,9.17,49.53,2.45,35.24,0
panama,2017,14.85,37.62,-4.63,73.93,1
panama,2018,8.76,39.75,3.24,6.96,0
panama,2019,10.97,59.75,-4.13,7.71,0
panama,2020,11.5,50.82,1.15,30.53,0
paraguay,1990,12.05,57.11,-2.21,80.74,1
paraguay,1991,8.78,49.95,-1.88,90.72,0
paraguay,1992,8.11,36.8,-0.42,12.88,0
paraguay,1993,11.59,59.3,-3.67,42.25,0
paraguay,1994,13.48,58.99,-3.47,70.77,1
paraguay,1995,9.13,57.32,4.05,80.49,1
paraguay,1996,8.71,46.78,2.54,53.27,0
paraguay,1997,12.01,56.18,-3.65,70.37,0
paraguay,1998,10.09,31.38,1.81,28.38,1
paraguay,1999,11.38,47.95,-1.43,29.99,1
paraguay,2000,8.41,56.32,5.53,33.04,1
paraguay,2001,10.91,56.77,-2.78,7.9,0
paraguay,2002,12.26,42.88,-1.79,78.92,0
paraguay,2003,15.12,45.64,-4.24,83.14,0
paraguay,2004,14.14,45.76,-4.61,86.86,1
paraguay,2005,7.2,56.37,1.86,51.74,0
paraguay,2006,11.65,40.22,-3.02,17.06,0
paraguay,2007,9.02,48.94,2.1,70.26,1
paraguay,2008,9.42,37.03,4.44,97.08,1
paraguay,2009,7.74,58.52,2.21,74.36,0
paraguay,2010,12.16,56.74,-4.96,3.98,1
paraguay,2011,9.87,31.37,-3.32,27.68,0
paraguay,2012,7.23,48.68,0.64,44.75,1
paraguay,2013,10.05,36.21,1.2,0.55,1
paraguay,2014,12.51,43.89,0.26,21.85,1
paraguay,2015,7.57,38.8,6.18,39.7,0
paraguay,2016,5.8,45.95,5.56,57.48,0
paraguay,2017,10.16,44.81,3.43,99.28,0
paraguay,2018,7.11,56.47,3.05,25.82,0
paraguay,2019,9.6,39.28,4.89,95.51,1
paraguay,2020,8.46,30.06,3.61,82.96,0
peru,1990,10.44,48.11,3.24,11.45,1
peru,1991,10.33,32.77,2.16,54.96,0
peru,1992,15.1,32.13,-4.04,35.48,0
peru,1993,6.51,49.39,5.66,59.87,1
peru,1994,8.6,49.08,5.96,61.26,1
peru,1995,9.07,52.23,1.36,82.9,1
peru,1996,11.66,34.26,-4.86,42.2,0
peru,1997,6.29,41.98,5.92,80.8,0
peru,1998,10.82,40.3,3.75,65.23,1
peru,1999,13.44,42.12,-4.07,54.25,1
peru,2000,13.07,53.67,0.36,79.84,0
peru,2001,11.72,52.78,-3.81,88.97,1
peru,2002,10.77,41.14,2.21,70.56,0
peru,2003,12.98,34.97,2.75,4.48,0
peru,2004,15.3,40.38,-3.15,2.54,1
peru,2005,13.02,47.88,-3.78,84.71,1
peru,2006,11.47,40.94,-2.39,98.8,0
peru,2007,12.91,34.07,-3.81,20.89,0
peru,2008,11.79,41.64,-3.08,2.34,0
peru,2009,6.72,33.9,5.03,37.04,1
peru,2010,6.81,39.42,5.66,60.29,1
peru,2011,13.55,48.21,-3.18,3.09,1
peru,2012,7.2,40.21,1.5,15.41,0
peru,2013,8.65,37.41,5.06,35.62,1
peru,2014,11.43,37.78,-2.66,5.76,1
peru,2015,10.2,54.92,1.54,16.52,0
peru,2016,10.75,34.18,0.33,62.62,0
peru,2017,11.36,52.04,-1.39,32.58,1
peru,2018,13.73,48.62,-2.58,39.51,1
peru,2019,14.69,57.21,-3.41,59.3,1
peru,2020,9.65,51.66,1.4,87,0
uruguay,1990,12.04,31.73,3.17,46.68,1
uruguay,1991,13.75,58.32,-3.21,46.27,1
uruguay,1992,10.3,44.76,-1.37,49.14,0
uruguay,1993,7.18,36.1,4.14,38.65,0
uruguay,1994,9.07,51.77,5.73,45.6,1
uruguay,1995,7.74,54.83,4.17,57.35,0
uruguay,1996,12.97,31.78,-4.96,64.02,0
uruguay,1997,13.63,56.79,-4.25,88.35,0
uruguay,1998,5.02,52.88,6.15,3.05,0
uruguay,1999,12.74,50.78,-3.39,29.94,1
uruguay,2000,10.72,51.99,1.34,79.34,0
uruguay,2001,9.94,59.93,3.12,82.85,0
