eleccion,coord1D_normal_all,sexo,edad,experiencia
Convencionales Constituyentes,9.148131013,1,54,0
Convencionales Constituyentes,5.557974316,0,75,0
Convencionales Constituyentes,9.207320809,0,42,0
Convencionales Constituyentes,9.48064357,1,48,0
Convencionales Constituyentes,9.56001997,1,42,0
Convencionales Constituyentes,0.83545953,1,38,19
Convencionales Constituyentes,3.270387203,0,32,2
Convencionales Constituyentes,8.52538377,0,38,0
Convencionales Constituyentes,8.523701429,0,25,0
Convencionales Constituyentes,1.937081516,0,62,13
Convencionales Constituyentes,3.213540167,1,69,0
Convencionales Constituyentes,2.435211241,1,32,6
Convencionales Constituyentes,2.699415535,0,48,7
Convencionales Constituyentes,3.418398947,0,51,0
Convencionales Constituyentes,7.191794068,0,46,0
Convencionales Constituyentes,2.077053189,1,34,10
Convencionales Constituyentes,9.121295214,1,42,0
Convencionales Constituyentes,7.287029028,0,56,0
Convencionales Constituyentes,9.362635612,1,35,0
Convencionales Constituyentes,4.406984635,0,76,0
Convencionales Constituyentes,7.252320498,0,34,0
Convencionales Constituyentes,8.54080379,0,33,0
Convencionales Constituyentes,3.354763985,0,52,0
Convencionales Constituyentes,8.721874058,0,38,0
Convencionales Constituyentes,3.380924463,0,37,0
Convencionales Constituyentes,2.48451978,0,44,6
