Country,Year,GDP_Growth_Percent,Gini_Index,Access_to_Water_Percent,Tax_Revenue_Percent_GDP,Women_in_Workforce_Percent,Employment_Percent,Left_President
Brazil,2014,4.51,45.04,98.68,26.1,42.72,60.85080424,1
Brazil,2015,2.13,30.58,79.05,26.5,38.7,54.91750222,0
Brazil,2016,2.36,42.86,74.06,17.46,47.1,53.66047959,0
Brazil,2017,1.82,47.23,89.6,26.3,42.94,54.66653487,0
Brazil,2018,7.93,41.03,83.08,32.3,54.19,66.0541551,1
Brazil,2019,4.08,33.01,97.58,27.86,59.97,60.09728998,0
Brazil,2020,-7.01,56.04,74.87,25.39,33.71,34.57589381,0
Chile,1990,8.06,31.29,79.99,12.49,44.27,65.46467571,1
Chile,1991,6.4,38.95,74.53,18.26,54.42,62.01578369,1
Chile,1992,-7.19,36.82,72.07,27.64,41.86,32.6929701,1
Chile,1993,-3.78,51.56,80.08,28.19,54.46,43.03224055,1
Chile,1994,-5.65,59.21,74.87,17.27,35.39,39.22211054,1
Chile,1995,-3.09,44.4,85.67,31.34,56.68,43.83022691,1
Chile,1996,-5.6,48.69,73.34,21.47,39.67,38.33082573,1
Chile,1997,-3.67,44.48,91.89,11.73,56.38,39.82925852,1
Chile,1998,4.7,35.29,98.17,22.66,59.99,58.55870935,1
Chile,1999,-6.05,46.05,78.71,17.6,47.73,37.21457097,1
Chile,2000,8.43,54.16,91.72,23.98,57.67,65.25544546,1
Chile,2001,-0.15,56.21,95.02,15.35,53.14,49.37742858,1
Chile,2002,-9.76,39.68,76.89,22.67,52.11,31.28810171,1
Chile,2003,-8.05,45.45,98.15,15.72,50.31,37.6723718,1
Chile,2004,1.86,30.3,84.27,27.72,31.32,54.06915563,1
Chile,2005,7.59,45.6,70.92,15.61,58.61,65.69510078,1
Chile,2006,1.65,33.22,78.63,21.42,30.63,53.15110817,1
Chile,2007,-1.77,44.68,77.31,24.72,52.6,42.62245757,1
Chile,2008,-5.28,48.61,89.19,33.71,53.35,39.38697225,1
Chile,2009,6.97,44.71,75.56,34.9,33.88,64.06046042,1
Chile,2010,-0.57,32.04,98.32,34.12,51.58,53.78648422,0
Chile,2011,-3,37.63,77.96,13.18,45.77,43.61527807,0
Chile,2012,-7.16,39.5,88.8,28.19,30.73,36.28309468,0
Chile,2013,-1.4,49.56,95.6,21.88,59.08,47.13057646,0
Chile,2014,-4.69,30.41,84.51,16.4,54.71,38.28264392,1
Chile,2015,-5.34,39.32,93.74,27.88,46.74,41.60564563,1
Chile,2016,4.1,42.56,70.16,10.28,45.34,59.70386607,1
Chile,2017,-8.33,31.53,98.97,31.48,34.56,34.92206389,1
Chile,2018,-9.99,58.25,78.35,14.65,50.75,28.20122509,0
Chile,2019,-7.82,37.94,99.25,25.99,45.62,37.16558862,0
Chile,2020,-2.04,53.24,74.23,34.18,55.83,43.11629787,0
Colombia,1990,5.41,34.41,72.39,12.24,50.16,61.99371419,0
Colombia,1991,-5.09,42.62,86.72,31.51,51.81,44.20091125,0
Colombia,1992,-4.59,33.94,71.66,17.54,37.86,38.83892735,0
Colombia,1993,-0.88,50.5,90.87,17.09,41.4,47.10740454,0
Colombia,1994,-6.38,53.66,71.71,27.42,53.36,37.43930273,1
Colombia,1995,5.55,37.78,81.21,24.69,38.18,60.09304869,0
Colombia,1996,-2.58,35.91,83.8,11.12,53.99,41.73867314,1
Colombia,1997,-8.46,45.57,79.2,24.44,58.78,33.21712595,0
Colombia,1998,2.91,31.06,82.91,22.75,46.09,53.69539257,1
Colombia,1999,3.63,38.33,73.87,19.82,58.69,58.20718486,0
Colombia,2000,-6.26,57.12,86.31,21.42,56.46,35.64115153,0
Colombia,2001,-0.83,51.73,81.97,32.6,50.7,51.43986881,1
Colombia,2002,3.99,39.83,92.7,25.9,37.2,56.41349342,0
Colombia,2003,-6.79,53.89,98.77,21.45,47.73,35.77587697,0
Colombia,2004,7.15,43.72,98.56,24.39,54.62,65.92703443,1
Colombia,2005,8.18,54.47,74.78,25.72,41.95,63.89827137,1
Colombia,2006,-8.75,42.72,77.76,31.23,31,32.95491987,0
Colombia,2007,9.18,40.66,80.7,10.41,35.56,70.97428551,0
Colombia,2008,-1.97,57.88,72.99,33.63,56.08,42.84503353,1
Colombia,2009,-0.92,39.8,76.98,25.36,30.99,48.52926772,0
Colombia,2010,-9.69,42.86,72.04,16.3,36.63,31.13976559,0
Colombia,2011,-4.94,33.93,70.36,12.89,48.55,41.68364574,0
Colombia,2012,9.49,59.71,82.27,14.07,49.16,66.50609858,1
Colombia,2013,-0.19,59.68,71.96,29.58,38.65,46.97908677,1
Colombia,2014,-5.17,49.88,77.38,26.65,45.52,40.70388313,0
Colombia,2015,-1.52,46.64,78.61,27.66,42.45,47.55396935,0
Colombia,2016,-2.79,54.86,97.75,11.15,36.98,44.9209857,0
Colombia,2017,-3.03,54.45,99.56,34.22,57.15,44.63289642,1
Colombia,2018,-4.07,59.76,77.48,12.65,58.53,40.49995056,0
Colombia,2019,-5.33,50.69,71.75,28.27,56.45,39.80450739,0
Colombia,2020,-4.55,41.37,81.23,28.72,37.13,41.48614495,1
Costa Rica,1990,-1.51,38.59,85.05,31.99,38.25,45.55129716,0
Costa Rica,1991,0.01,37.04,80.11,14.76,59.72,53.75154902,1
Costa Rica,1992,1.43,51.98,72.95,19.15,56.78,53.80766584,0
Costa Rica,1993,-8.31,34.96,88.76,25.57,55.15,30.99739301,0
Costa Rica,1994,8.71,34.26,77.78,20.69,30.03,68.73310722,0
Costa Rica,1995,-8.6,36.79,84.43,16.29,56.3,30.85063666,1
Costa Rica,1996,-3.51,57.74,99.24,21.25,36.81,44.55416921,1
Costa Rica,1997,-4.17,53.29,78.2,19.51,44.36,43.97719116,1
Costa Rica,1998,1.5,59.88,76.97,18.84,37.89,51.35863536,0
Costa Rica,1999,-2.78,33.02,80.79,32.2,38.96,46.36675226,1
Costa Rica,2000,-2.56,58.33,91.85,22.92,53.32,45.70556185,0
Costa Rica,2001,-7.54,43.93,73.55,15.84,34.26,36.56412032,0
Costa Rica,2002,-2.76,41.45,98.42,16.6,44.17,48.27358597,1
Costa Rica,2003,6.23,54.47,92.51,17.2,44.85,61.96922377,0
Costa Rica,2004,-6.28,35.65,83.08,28.46,45.8,35.93252767,0
Costa Rica,2005,7.73,54.93,70.95,24.21,48.27,63.68097114,0
Costa Rica,2006,9.23,30.7,85.93,15.12,31.61,66.82837943,0
Costa Rica,2007,1.75,53.18,93.25,10.76,42.21,53.34579658,0
Costa Rica,2008,-9.11,37.44,75.79,15.38,40.17,32.46230395,1
Costa Rica,2009,-4.45,58.87,80.57,32.35,35.43,41.6533816,0
Costa Rica,2010,5.27,31.84,83.88,10.14,54.31,62.1943665,1
Costa Rica,2011,9.01,31.05,98.02,29.35,40.77,68.04600378,1
Costa Rica,2012,8.18,38.89,82.28,12.42,49.71,69.26706815,0
Costa Rica,2013,-9.41,44.55,90.5,30.53,34.5,30.65068633,0
Costa Rica,2014,5.08,51.57,86.79,24.62,32.74,65.60033833,0
Costa Rica,2015,2.01,41.45,96.03,17.83,47.3,55.2713347,1
Costa Rica,2016,-1.47,56.29,77.62,11.97,52.46,45.34568489,0
Costa Rica,2017,-1.74,47.67,70.79,33.8,56.33,44.378215,1
Costa Rica,2018,2.48,30.51,81.34,34.47,50.44,55.92494483,0
Costa Rica,2019,-6.78,43.82,99,23.37,30.74,35.99307443,1
Costa Rica,2020,2.4,38.14,72.97,20.07,46.76,56.22800099,0
Cuba,1990,6.1,59.95,95.42,20.36,33.82,63.14647525,0
Cuba,1991,6.81,31.79,80.51,32.99,58.82,63.47434217,1
Cuba,1992,2.81,50.66,71.27,22.86,46.41,53.92641256,1
Cuba,1993,-3.2,32.06,76.87,18.95,43.05,40.57030555,0
Cuba,1994,1.82,51.67,79.53,18.22,30.59,52.7469701,1
Cuba,1995,-9.18,37.73,92.21,25.71,53.09,33.35279759,0
Cuba,1996,5.38,55.7,91.61,34.48,56.96,61.18818749,1
Cuba,1997,1.73,47.64,71.03,34.96,33.95,50.96852244,1
Cuba,1998,4.81,54.63,81.19,14.92,32.96,59.96636185,0
Cuba,1999,4.97,43.58,91.41,32.89,34.4,60.71063476,0
Cuba,2000,8.38,42.35,79.16,33.58,59.72,64.99228513,0
Cuba,2001,-6.02,49.71,73.19,26.27,54.82,38.26745021,1
Cuba,2002,3.69,42.52,81.49,19.83,47.69,57.49641744,1
Cuba,2003,7.63,57.87,71.61,14.54,33.37,62.9740594,0
Cuba,2004,-6.13,40.4,85.2,25.74,51.96,38.45557472,0
Cuba,2005,7.8,59.67,89.89,31.13,53.34,66.72156905,1
Cuba,2006,-3.85,56.27,71.28,10.01,38.21,44.46610249,1
Cuba,2007,-0.76,49.15,73.05,26.83,54.05,50.5876041,1
Cuba,2008,-6.29,42.45,85.6,21.3,53.99,34.66466126,0
Cuba,2009,9.21,53.97,72.34,30.12,32,66.54434992,0
Cuba,2010,-5.28,34.59,75.93,23.21,50.15,40.47007053,0
Cuba,2011,-0.59,58.79,77.21,29.08,56.11,49.8475719,1
Cuba,2012,1.24,43.69,87.89,20.72,46.66,53.51009537,0
Cuba,2013,-1.66,42.01,90.86,12.32,35,54.38546298,1
Cuba,2014,7.02,53.13,78.44,19.43,57.78,65.18178102,0
Cuba,2015,6.36,48.43,76.64,11.11,42.94,64.99113128,1
Cuba,2016,3.45,54.85,95.58,10.82,37.32,58.80800353,1
Cuba,2017,-3.22,35.66,94.09,29.19,45.5,44.8627825,1
Cuba,2018,9.66,34.32,96.99,12.91,34.9,68.68946151,0
Cuba,2019,3.92,33.29,86.98,20.51,51.85,59.35793844,0
Cuba,2020,8.01,53.1,95.49,10.82,39.31,64.47434957,0
Ecuador,1990,-4.44,35.08,98.95,13.78,54.16,40.64636279,1
Ecuador,1991,1.72,47.08,85.36,34.29,40.92,52.4692729,1
Ecuador,1992,5.76,46.66,81.87,33.89,47.95,61.68374828,1
Ecuador,1993,-7.62,42.53,93.45,27.34,57.49,39.38931713,1
Ecuador,1994,-4.81,52.75,83.8,24.34,58.65,36.64546961,1
Ecuador,1995,9.59,55.85,80.77,32.19,49.16,70.55252038,0
Ecuador,1996,-1.4,31.07,93.1,22.55,53.59,43.97456826,1
Ecuador,1997,4.96,53.81,79.02,30.02,46.47,58.97613627,0
Ecuador,1998,-0.53,50.25,70.64,12.56,38.77,51.11790119,0
Ecuador,1999,9.66,34.19,79.92,11.28,39.94,69.44856004,1
Ecuador,2000,-3.59,58.4,95.35,19.57,30.74,40.66451044,0
Ecuador,2001,6.62,49.82,74.57,34.9,33.01,61.80939258,0
Ecuador,2002,7.34,38.83,83.06,29.89,50.33,66.0391955,1
Ecuador,2003,8.76,48.63,72.93,32.11,53.07,66.05926674,0
Ecuador,2004,4.24,31.61,81.89,14.19,54.66,58.91291718,1
Ecuador,2005,4.01,56.49,99,29.37,59.83,58.11114368,0
Ecuador,2006,2.3,31.11,70.43,18.55,54.7,53.2967993,0
Ecuador,2007,7.32,58.82,71.95,11.11,57.4,68.92788818,0
Ecuador,2008,-3.9,46.74,99.47,20.01,49.98,43.46783804,0
Ecuador,2009,-1.98,53.05,85.83,15.94,38.14,41.98971483,1
Ecuador,2010,-4.84,45.97,91.1,33.73,50.82,40.69290863,0
Ecuador,2011,5.62,35.07,81.22,20.34,50.59,59.91642707,1
Ecuador,2012,-4.08,39.1,80.68,30.26,47.33,43.54486667,0
Ecuador,2013,-8.49,32.35,81.14,29.16,50.66,31.43495852,1
Ecuador,2014,4.16,53.02,78.61,23.71,46.3,58.09052712,1
Ecuador,2015,4.79,58.71,78.34,29.83,49.8,60.58997456,1
Ecuador,2016,1.6,53.25,98.32,10.92,34.42,54.93151039,0
Ecuador,2017,5.13,32.51,85.48,15.5,38.23,57.85940719,0
Ecuador,2018,4.04,30.91,96.2,21.11,45.07,57.41099753,0
Ecuador,2019,0.8,49.37,80.35,12.53,39.55,50.65010938,1
Ecuador,2020,-6.64,46.68,79.54,33.95,58.97,35.41334153,0
El Salvador,1990,-8.39,46.27,80.68,34.69,30.41,36.75090848,0
El Salvador,1991,2.24,51.71,78.67,34.34,55.79,55.28996342,1
El Salvador,1992,8.31,30.58,87.1,17.37,55.47,64.09823209,0
El Salvador,1993,2.66,46.17,73.44,23.51,48.96,57.15572389,1
El Salvador,1994,9.12,47.55,99.02,34.04,49.51,72.48431239,0
El Salvador,1995,0.12,43.98,96.71,10.71,33.41,52.30493052,0
El Salvador,1996,-7.96,52.71,80.19,25.95,48.11,31.04126007,1
El Salvador,1997,-2.28,45.95,89.35,33.52,47.27,44.47153185,0
El Salvador,1998,2.29,32.04,98.57,23.2,54.04,57.1138223,1
El Salvador,1999,-8.99,42.63,77.71,16.67,53.74,30.60466107,0
El Salvador,2000,2.48,43.19,70.32,34.12,58.86,55.84763886,0
El Salvador,2001,-5.65,31.24,85.91,33.79,57.31,40.24926811,1
El Salvador,2002,1.69,39.11,79.9,32.45,44.75,51.52613906,1
El Salvador,2003,-7.38,37.45,78.3,13.09,43.89,35.12094929,1
El Salvador,2004,8.32,50.06,72.17,10.14,38.29,60.15746532,0
El Salvador,2005,-2.75,53.3,99.01,19.69,50.6,42.45122472,1
El Salvador,2006,9.9,52.37,89.09,11.95,39.7,69.2948637,0
El Salvador,2007,8.27,36.03,95.31,27.41,40.99,64.04443364,0
El Salvador,2008,0.58,46.28,91.42,22.91,33.99,54.42482261,1
El Salvador,2009,5.47,42.19,98.89,17.09,37.89,58.07971724,0
El Salvador,2010,-3.33,47.17,96.85,14.41,38.39,42.45991103,1
El Salvador,2011,1.63,43.63,83.42,30.52,57.72,53.52148115,0
El Salvador,2012,-0.37,50.62,94.03,22.96,38.83,52.14254658,0
El Salvador,2013,2.76,47.55,97.05,11.31,57.3,52.6482757,1
El Salvador,2014,0.69,30.47,80.34,28.11,44.65,53.7063275,1
El Salvador,2015,9.6,42.68,79.8,30.54,46.44,69.22046612,1
El Salvador,2016,3.65,54.17,90.14,20.56,33.74,55.3369827,1
El Salvador,2017,1.6,56.92,82.57,32.77,45.11,54.12420695,1
El Salvador,2018,2.42,54.99,86.94,12.27,59.43,55.23811939,1
El Salvador,2019,-5.08,51.32,85.15,21.97,37.32,38.63956625,1
El Salvador,2020,4.44,33.38,99.71,31.13,46.04,59.01960417,0
Guatemala,1990,2.35,31.29,91.03,32.83,45.74,53.92937281,0
Guatemala,1991,-2.92,33.61,92.65,32.13,33.01,44.38703469,0
Guatemala,1992,5.18,30.51,99.01,25.38,46.57,61.68426135,1
Guatemala,1993,-4.08,57.88,77.98,30.7,59.55,45.01203363,1
Guatemala,1994,5.67,45.57,71.98,21.81,43.15,58.864369,0
Guatemala,1995,-5.94,42.71,80.73,14.09,43.24,42.38606675,1
Guatemala,1996,-4.74,45.66,71.05,32.66,54.49,36.6158244,1
Guatemala,1997,1.05,55.55,98.87,12.76,48.92,51.79642981,0
Guatemala,1998,9.96,59.64,88.1,13.2,47.5,71.09663441,1
Guatemala,1999,-9.96,35.97,98.68,18.26,49.15,30.64198374,1
Guatemala,2000,-4.38,58.43,91.86,18.24,53.75,39.99460096,0
Guatemala,2001,-7.84,41.77,76.64,27.09,33.07,33.9037555,1
Guatemala,2002,-2.06,38.3,85.19,18.75,51.19,44.89399813,0
Guatemala,2003,-9.51,49.02,76.92,16.72,54.01,29.80127049,1
Guatemala,2004,9.11,39.5,94.8,12.6,49.02,69.91920419,1
Guatemala,2005,5.02,34.68,82.78,32.32,33.11,60.75403097,1
Guatemala,2006,-9.64,47.72,83.07,29.97,57.7,29.33418081,0
Guatemala,2007,-4.02,41.65,84.59,24.7,59.52,43.75919975,1
Guatemala,2008,3.95,41.69,77.91,33.62,34.07,58.51459904,1
Guatemala,2009,4.41,57.76,89.94,20.58,35.97,60.44572424,0
Guatemala,2010,-2.65,51.21,89.49,33.2,56.01,45.95925768,1
Guatemala,2011,6.32,57.34,78.29,19.24,41.4,60.98200998,0
Guatemala,2012,1.21,50.05,78.6,10.49,41.98,51.29963792,1
Guatemala,2013,-3.83,58.27,96.65,31.51,49.59,43.83458721,0
Guatemala,2014,-3.11,46.47,94.46,12.47,54.03,45.00074053,0
Guatemala,2015,-9.18,54.49,94.23,11.28,48.81,31.59819681,0
Guatemala,2016,0.05,35.09,74.45,29.33,47.03,50.33465477,1
Guatemala,2017,9.66,59.47,99.78,12.97,58.15,71.87532979,0
Guatemala,2018,-5.11,43.75,92.72,15.09,46.99,38.59685722,1
Guatemala,2019,-6.28,33.14,73.5,18.94,30.14,38.53419476,0
Guatemala,2020,-1.5,49.93,82.05,12.14,31.88,46.5956147,0
Honduras,1990,0.31,42.48,76.94,17.7,58.36,50.18463759,1
Honduras,1991,-4.12,40.62,70.11,31.13,34.65,43.9575537,1
Honduras,1992,-5.92,37.66,96.54,15.16,53.93,39.8108327,0
Honduras,1993,6.16,57.81,73.47,15.43,52.29,63.94701927,1
Honduras,1994,-6.08,38.59,75,14.32,44.45,40.45095761,1
Honduras,1995,-7.81,39.65,82.8,10.61,41.65,34.42200768,1
Honduras,1996,-8.12,44.81,94.77,30.46,32.41,35.12390594,0
Honduras,1997,2.02,55.04,77.14,29.05,56.72,53.41946649,0
Honduras,1998,6.12,33.22,70.27,14.79,38.11,62.8883327,1
Honduras,1999,2.32,41.53,91.1,18.83,34.63,54.37971389,0
Honduras,2000,-3.75,56.53,98.76,15.19,53.65,42.69399193,1
Honduras,2001,-4.53,56.61,74.97,26.65,32.53,42.13031405,1
Honduras,2002,9.48,51.02,95.25,24.17,44.3,67.32355863,1
Honduras,2003,2.44,45.86,84.08,28.99,35.35,59.06477455,1
Honduras,2004,-6.58,42.96,79.62,11.85,55.33,34.82796524,1
Honduras,2005,5.43,46.32,99.38,11.82,53,58.43162277,0
Honduras,2006,-4.67,41.06,76.58,29.73,34.33,42.97622175,1
Honduras,2007,6.8,49.85,71.77,30.27,48.83,65.18332539,0
Honduras,2008,8.1,52.46,86.83,30.91,38.34,67.44823963,0
Honduras,2009,0.94,38.81,99.05,15.65,30.47,53.13669102,1
Honduras,2010,-3.48,45.08,70.85,23.98,56.23,43.01550645,1
Honduras,2011,4.09,48.69,98.68,33.96,54.73,56.38549126,1
Honduras,2012,2.15,44.63,70.4,25.16,59.67,54.45160912,1
Honduras,2013,6.36,40.22,74.56,29.6,52.32,61.36567658,0
Honduras,2014,9.34,56.25,86.67,12.53,44.51,70.63023947,0
Honduras,2015,-3.73,45.37,79.05,31.55,55.33,42.24588524,1
Honduras,2016,-3.69,47.99,82.91,32.73,35.62,40.96900561,0
Honduras,2017,3.95,59.11,75.26,15.05,50.81,57.25722832,0
Honduras,2018,5.58,44.72,88.29,15.32,44.3,61.98586291,0
Honduras,2019,-7.76,39.64,78.54,21.12,57.9,33.35255089,0
Honduras,2020,-6.37,42.04,88.47,33.66,33.99,35.61555921,0
Mexico,1990,6.96,54.22,87.07,20.18,32.08,64.40737442,0
Mexico,1991,3.95,43.61,91.66,31.66,59.27,58.38993314,0
Mexico,1992,7.12,30.35,80.8,28.25,35.15,63.22611365,0
Mexico,1993,0.42,31.63,76,10.46,53.81,49.89792339,1
Mexico,1994,-5.52,40.36,97.84,27.61,30.96,39.42409987,0
Mexico,1995,-6.71,48.64,87.32,15.95,58.03,33.68383132,0
Mexico,1996,2.28,46.07,87.7,28.25,39.36,51.74507245,1
Mexico,1997,-2.04,36.3,75.59,33.61,52.19,44.48311156,0
Mexico,1998,-0.19,36.82,77.63,11.45,43.03,49.1931057,1
Mexico,1999,-3.76,50.89,81.33,14.49,30.74,43.10181513,1
Mexico,2000,-8.66,50.38,83.61,23.41,56.9,35.63071243,0
Mexico,2001,9.81,36.51,89.89,16.58,30.62,71.33531925,0
Mexico,2002,5.17,39.6,81.5,24.71,54.93,60.02012294,1
Mexico,2003,2.58,56.18,78.21,29.95,35.57,55.12196758,1
Mexico,2004,9.06,50.62,76.47,33.68,51.93,66.11494127,0
Mexico,2005,-4.92,36.4,85.55,10.64,36.22,40.12297373,1
Mexico,2006,-1.51,41.23,83.91,16.94,47.6,46.40268272,0
Mexico,2007,7.28,33.53,85.52,13.3,51.51,65.20543712,1
Mexico,2008,-2.08,46.96,75.5,13.62,44.64,44.18553811,0
Mexico,2009,-2.89,58.21,92.96,28.72,57.11,45.25869303,1
Mexico,2010,-8.33,46.57,87.53,34.05,38.76,36.40547783,1
Mexico,2011,-5.18,33.01,70.49,33.24,50.1,39.4224797,1
Mexico,2012,5.7,38.45,87.59,11.6,44.57,62.20342344,1
Mexico,2013,9.55,56.3,80.14,34.04,36.95,70.48028798,0
Mexico,2014,8.99,58.24,93.98,25.76,56.23,67.17755906,0
Mexico,2015,-4.14,55.47,88.54,10.33,40.42,42.16818496,0
Mexico,2016,-7.04,59.45,84.35,22.43,49.18,35.9451848,0
Mexico,2017,-2.63,34.11,94.66,14.75,45.34,44.9353522,1
Mexico,2018,-5.51,32.94,95.87,34.32,58.83,37.43398043,0
Mexico,2019,8.13,53.22,79.99,12.03,42.22,66.30902035,0
Mexico,2020,-5.36,33.97,71.6,28.14,30.34,40.27599658,1
Nicaragua,1990,-4.57,43.86,91.79,21.87,57.12,43.76228722,1
Nicaragua,1991,-9.3,35.42,80.16,24.44,55.58,33.31854165,1
Nicaragua,1992,-3,38.04,71.86,30.53,41.39,48.30636492,1
