country,year,turnout,democracy_index,num_candidates,democracy_spell,compulsory_voting
colombia,1990,52.38,40.72,7,1,0
colombia,1991,56.13,57.32,7,2,0
colombia,1992,52.5,61.69,8,3,0
colombia,1993,52.41,40.77,4,4,0
colombia,1994,66.06,65.16,2,5,0
colombia,1995,58.57,70.79,9,6,0
colombia,1996,60.05,72.12,2,7,0
colombia,1997,64.44,80.05,5,8,0
colombia,1998,55.89,59.41,5,9,0
colombia,1999,58.9,81.03,5,10,0
colombia,2000,49.8,59.31,2,11,0
colombia,2001,56.58,53.7,5,12,0
colombia,2002,52.51,45.04,3,13,0
colombia,2003,52.86,56.83,3,14,0
colombia,2004,49.26,55.95,3,15,0
colombia,2005,59.67,53.03,8,16,0
colombia,2006,54.62,45.91,6,17,0
colombia,2007,50.97,41.96,2,18,0
colombia,2008,50.46,80.17,2,19,0
colombia,2009,65.25,68.43,4,20,0
colombia,2010,60.84,89.53,9,21,0
colombia,2011,55.12,69.03,8,22,0
colombia,2012,66.56,86.54,6,23,0
colombia,2013,55.29,77,4,24,0
colombia,2014,51.76,45.16,2,25,0
colombia,2015,72.54,59.48,6,26,0
colombia,2016,61.44,84.78,2,27,0
colombia,2017,68.08,87.84,8,28,0
colombia,2018,59.72,87.53,4,29,0
colombia,2019,53.07,44.59,5,30,0
colombia,2020,54.7,56.43,4,31,0
costa rica,1990,62.38,86.55,3,1,0
costa rica,1991,58.39,42.88,8,2,0
costa rica,1992,64.03,88.43,2,3,0
costa rica,1993,59.2,78.08,5,4,0
costa rica,1994,54.33,61.3,9,5,0
costa rica,1995,43,43.64,3,6,0
costa rica,1996,57.16,69.07,6,7,0
costa rica,1997,55.88,58.53,5,8,0
costa rica,1998,56.36,69.59,5,9,0
costa rica,1999,42.41,58.81,8,10,0
costa rica,2000,57.56,75.25,3,11,0
costa rica,2001,53,85.32,8,12,0
costa rica,2002,52.85,60.26,7,13,0
costa rica,2003,54.34,42.82,5,14,0
costa rica,2004,62.68,77.21,4,15,0
costa rica,2005,54.75,69.17,7,16,0
costa rica,2006,40.04,44.14,2,17,0
costa rica,2007,43.71,51.18,7,18,0
costa rica,2008,54.24,42.17,6,19,0
costa rica,2009,67.43,89.65,6,20,0
costa rica,2010,46.11,43.77,8,21,0
costa rica,2011,54.18,71.47,7,22,0
costa rica,2012,68.34,76.86,4,23,0
costa rica,2013,53.4,54.05,9,24,0
costa rica,2014,49.63,45.34,6,25,0
costa rica,2015,49.02,53.87,5,26,0
costa rica,2016,62.51,51.47,5,27,0
costa rica,2017,51.75,43.89,2,28,0
costa rica,2018,44.6,41.62,2,29,0
costa rica,2019,48.3,55.48,5,30,0
costa rica,2020,57.36,46.66,4,31,0
cuba,1990,68.21,81.13,3,1,0
cuba,1991,52.44,85.96,3,2,0
cuba,1992,55.2,86.64,3,3,0
cuba,1993,55.09,60.56,7,4,0
cuba,1994,55.75,80.53,9,5,0
cuba,1995,67.75,81.46,2,6,0
cuba,1996,62.29,81.92,3,7,0
cuba,1997,68.93,77.5,4,8,0
cuba,1998,61.26,67.77,6,9,0
cuba,1999,58.59,58.89,6,10,0
cuba,2000,51.09,62.53,7,11,0
cuba,2001,48.71,50.36,2,12,0
cuba,2002,57.89,73.59,9,13,0
cuba,2003,54.42,63.81,4,14,0
cuba,2004,54.19,66.01,5,15,0
cuba,2005,68.35,61.03,6,16,0
cuba,2006,59.87,71.02,3,17,0
cuba,2007,59.05,70.4,3,18,0
cuba,2008,57.26,59.61,4,19,0
cuba,2009,56.17,67.37,2,20,0
cuba,2010,62,79.18,5,21,0
cuba,2011,50.3,74.88,6,22,0
cuba,2012,54.64,47.35,9,23,0
cuba,2013,54.96,43.31,6,24,0
cuba,2014,57.81,89,6,25,0
cuba,2015,56.03,68.98,4,26,0
cuba,2016,64.96,43.79,2,27,0
cuba,2017,50.49,60.02,9,28,0
cuba,2018,55.35,72.04,9,29,0
cuba,2019,71.5,83.72,4,30,0
cuba,2020,54.02,73.38,3,31,0
dominican republic,1990,62.29,81.09,3,1,0
dominican republic,1991,52.74,53.93,6,2,0
dominican republic,1992,53.54,66.72,5,3,0
dominican republic,1993,50.51,50.32,3,4,0
dominican republic,1994,49.83,56.08,3,5,0
dominican republic,1995,60.81,79.97,2,6,0
dominican republic,1996,60.73,47.85,9,7,0
dominican republic,1997,51.85,43.05,3,8,0
dominican republic,1998,55.99,66.83,9,9,0
dominican republic,1999,57.42,64.23,3,10,0
dominican republic,2000,67.49,76.03,3,11,0
dominican republic,2001,51.86,41.83,9,12,0
dominican republic,2002,57.13,82.22,4,13,0
dominican republic,2003,55.06,66.61,6,14,0
dominican republic,2004,59.17,59.86,9,15,0
dominican republic,2005,55.07,53.46,6,16,0
dominican republic,2006,54.35,82.04,7,17,0
dominican republic,2007,51.38,56.37,5,18,0
dominican republic,2008,51.26,63.7,3,19,0
dominican republic,2009,73.53,79.46,6,20,0
dominican republic,2010,56.59,76.84,8,21,0
dominican republic,2011,51.08,77.27,2,22,0
dominican republic,2012,60.86,56.87,5,23,0
dominican republic,2013,59.82,72.3,3,24,0
dominican republic,2014,48.04,56.52,2,25,0
dominican republic,2015,51.08,51.86,7,26,0
dominican republic,2016,51.1,64.39,7,27,0
dominican republic,2017,57.72,49.33,7,28,0
dominican republic,2018,52.29,40.27,7,29,0
dominican republic,2019,58.5,52.9,9,30,0
dominican republic,2020,64.11,75.92,4,31,0
ecuador,1990,56.29,68.58,4,1,1
ecuador,1991,65.77,88.4,5,2,1
ecuador,1992,58.3,61.27,2,3,1
ecuador,1993,68.39,75.36,7,4,1
ecuador,1994,58.73,54.43,6,5,1
ecuador,1995,55.86,56.03,4,6,1
ecuador,1996,63.08,42.59,3,7,1
ecuador,1997,49.34,67.45,3,8,1
ecuador,1998,68.28,56.12,3,9,1
ecuador,1999,58.31,79.71,8,10,1
ecuador,2000,60.52,86.48,7,11,1
ecuador,2001,71.59,86.65,4,12,1
ecuador,2002,67.37,86.92,5,13,1
ecuador,2003,60.47,76.08,5,14,1
ecuador,2004,64.88,82.09,9,15,1
ecuador,2005,66.28,79.98,4,16,1
ecuador,2006,57.82,48.21,6,17,1
ecuador,2007,58.29,85.39,2,18,1
ecuador,2008,61.96,83.86,2,19,1
ecuador,2009,70.66,75.69,9,20,1
ecuador,2010,46.85,63.13,7,21,1
ecuador,2011,68.57,68.87,2,22,1
ecuador,2012,60.21,84.98,8,23,1
ecuador,2013,55.94,51.45,8,24,1
ecuador,2014,60.63,45.84,7,25,1
ecuador,2015,57.87,74.69,5,26,1
ecuador,2016,71.95,79.7,6,27,1
ecuador,2017,60.6,68.66,6,28,1
ecuador,2018,61.25,47.58,2,29,1
ecuador,2019,59.39,47.16,5,30,1
ecuador,2020,69.83,68.49,3,31,1
el salvador,1990,49.99,45.15,6,1,0
el salvador,1991,61.87,45.53,5,2,0
el salvador,1992,50.11,65.11,9,3,0
el salvador,1993,57.75,47.5,8,4,0
el salvador,1994,47.48,40.61,4,5,0
el salvador,1995,61.86,74.7,5,6,0
el salvador,1996,67.47,81.34,7,7,0
el salvador,1997,58.72,85.42,7,8,0
el salvador,1998,46.44,54.4,4,9,0
el salvador,1999,56.06,47.67,6,10,0
el salvador,2000,52.83,69.65,5,11,0
el salvador,2001,63.29,68.26,5,12,0
el salvador,2002,58.94,58.72,2,13,0
el salvador,2003,52.36,61.21,6,14,0
el salvador,2004,49.75,49.32,8,15,0
el salvador,2005,56.24,86.04,8,16,0
el salvador,2006,54.05,70.39,8,17,0
el salvador,2007,55.17,42.74,2,18,0
el salvador,2008,55.49,70.19,4,19,0
el salvador,2009,48.8,59.91,2,20,0
el salvador,2010,47.86,85.92,9,21,0
el salvador,2011,53.05,51.23,5,22,0
el salvador,2012,60.09,68.88,5,23,0
el salvador,2013,61.03,60.95,9,24,0
el salvador,2014,51.88,53.88,3,25,0
el salvador,2015,53.79,40.65,6,26,0
el salvador,2016,57.51,62.95,5,27,0
el salvador,2017,50.28,60.73,5,28,0
el salvador,2018,55.59,54.98,9,29,0
el salvador,2019,58.99,43.35,8,30,0
el salvador,2020,54.42,57.47,7,31,0
guatemala,1990,56.71,49.53,6,1,0
guatemala,1991,55.17,69.37,2,2,0
guatemala,1992,70.54,78.78,8,3,0
guatemala,1993,64.76,64.05,7,4,0
guatemala,1994,54.4,67.98,8,5,0
guatemala,1995,47.16,43.78,4,6,0
guatemala,1996,55.08,58.67,3,7,0
guatemala,1997,63.97,80.04,8,8,0
guatemala,1998,50.97,47.81,3,9,0
guatemala,1999,62.22,67.59,4,10,0
guatemala,2000,66.05,51.55,4,11,0
guatemala,2001,54.99,56.96,6,12,0
guatemala,2002,61.72,48.93,2,13,0
guatemala,2003,61.87,80.27,9,14,0
guatemala,2004,50.26,76.11,9,15,0
guatemala,2005,47.58,44.35,3,16,0
guatemala,2006,52.82,44.28,8,17,0
guatemala,2007,64.55,75.2,2,18,0
guatemala,2008,66.14,80.87,5,19,0
guatemala,2009,52.4,58.15,8,20,0
guatemala,2010,60.18,53.4,6,21,0
guatemala,2011,52.18,58.14,6,22,0
guatemala,2012,55.81,54.72,5,23,0
guatemala,2013,58.24,89.27,8,24,0
guatemala,2014,73.49,79.99,2,25,0
guatemala,2015,47.35,77.08,3,26,0
guatemala,2016,62.11,71.67,8,27,0
guatemala,2017,51.47,61.09,3,28,0
guatemala,2018,63.79,66.28,6,29,0
guatemala,2019,67.24,81.13,9,30,0
guatemala,2020,49.77,45.89,5,31,0
honduras,1990,53.75,60.26,7,1,0
honduras,1991,54.48,81.49,8,2,0
honduras,1992,54.3,76.61,3,3,0
honduras,1993,71.31,70.03,2,4,0
honduras,1994,58.7,81.91,6,5,0
honduras,1995,45.52,59.16,3,6,0
honduras,1996,57.33,87.93,2,7,0
honduras,1997,49.71,44.14,5,8,0
honduras,1998,67.58,85.78,4,9,0
honduras,1999,53.28,54.86,4,10,0
honduras,2000,64.4,87.7,7,11,0
honduras,2001,61.45,76.63,2,12,0
honduras,2002,43.73,48.1,5,13,0
honduras,2003,48.24,42.57,7,14,0
honduras,2004,65.5,57.22,9,15,0
honduras,2005,64.14,76.41,2,16,0
honduras,2006,64.65,62.98,4,17,0
honduras,2007,65.77,80.96,6,18,0
honduras,2008,60.55,88.1,2,19,0
honduras,2009,57.93,87.51,8,20,0
honduras,2010,63.5,87.91,4,21,0
honduras,2011,64.18,76.61,6,22,0
honduras,2012,63.12,71.86,9,23,0
honduras,2013,61.9,52.48,2,24,0
honduras,2014,57.69,42.58,3,25,0
honduras,2015,46.24,41.97,3,26,0
honduras,2016,68.04,55.64,8,27,0
honduras,2017,60.15,74.87,2,28,0
honduras,2018,56.2,61.09,6,29,0
honduras,2019,57.19,63.71,7,30,0
honduras,2020,54.71,66.12,8,31,0
mexico,1990,53.47,41.85,8,1,0
mexico,1991,45.35,64.05,4,2,0
mexico,1992,46.8,74.81,9,3,0
mexico,1993,49.33,68.62,9,4,0
mexico,1994,62.19,66.97,6,5,0
mexico,1995,60.08,66.01,6,6,0
mexico,1996,51.53,70.79,7,7,0
mexico,1997,50.52,89.52,4,8,0
mexico,1998,63.84,83.74,6,9,0
mexico,1999,49.62,43.5,7,10,0
mexico,2000,67.07,57.54,7,11,0
mexico,2001,50.94,53.58,2,12,0
mexico,2002,61.94,78.41,2,13,0
mexico,2003,49.73,76.61,2,14,0
mexico,2004,55.41,45.52,7,15,0
mexico,2005,57.08,75.78,6,16,0
mexico,2006,50.6,42.1,2,17,0
mexico,2007,48.14,46.22,4,18,0
mexico,2008,65.39,87.5,6,19,0
mexico,2009,55.02,89.12,8,20,0
mexico,2010,62.62,87.24,4,21,0
mexico,2011,56.29,60.08,6,22,0
mexico,2012,58.58,72.48,6,23,0
mexico,2013,49.75,41.84,3,24,0
mexico,2014,63.42,78.98,7,25,0
mexico,2015,60.87,50.82,2,26,0
mexico,2016,55.2,86.39,3,27,0
mexico,2017,59.53,65.76,3,28,0
mexico,2018,59.36,74.8,9,29,0
mexico,2019,64.31,71.15,6,30,0
mexico,2020,48.18,66.85,2,31,0
nicaragua,1990,47.92,53.65,6,1,0
nicaragua,1991,63.44,84.44,2,2,0
nicaragua,1992,57.89,76.76,3,3,0
nicaragua,1993,54.13,60.42,8,4,0
nicaragua,1994,57.57,88.11,9,5,0
nicaragua,1995,58.16,74.16,6,6,0
nicaragua,1996,66.38,85.33,4,7,0
nicaragua,1997,60.07,57.39,3,8,0
nicaragua,1998,58.94,76.7,9,9,0
nicaragua,1999,55.98,79.87,9,10,0
nicaragua,2000,49.53,48.02,6,11,0
nicaragua,2001,56.62,81.85,2,12,0
nicaragua,2002,64.09,84.08,6,13,0
nicaragua,2003,58.79,83.59,4,14,0
nicaragua,2004,65.45,85.44,3,15,0
nicaragua,2005,56.37,80.9,7,16,0
nicaragua,2006,57.23,49.66,6,17,0
nicaragua,2007,54.16,70.85,2,18,0
nicaragua,2008,55.58,58.83,9,19,0
nicaragua,2009,56,67,4,20,0
nicaragua,2010,48.58,40.92,2,21,0
nicaragua,2011,56.71,88.15,8,22,0
nicaragua,2012,58.33,77.68,7,23,0
nicaragua,2013,64.77,86.86,9,24,0
nicaragua,2014,56.94,75.43,7,25,0
nicaragua,2015,66.43,57.29,3,26,0
nicaragua,2016,55.43,69.72,5,27,0
nicaragua,2017,50.06,41.23,4,28,0
nicaragua,2018,67.97,80.94,4,29,0
nicaragua,2019,60.38,74.16,3,30,0
nicaragua,2020,57.98,87.22,4,31,0
panama,1990,60.64,62.57,8,1,0
panama,1991,52.67,54.92,9,2,0
panama,1992,47.51,44.12,7,3,0
panama,1993,58.08,83.4,7,4,0
panama,1994,53.54,47.55,5,5,0
panama,1995,61.53,82.87,5,6,0
panama,1996,46.04,59.88,2,7,0
panama,1997,50.58,56.04,7,8,0
panama,1998,54.34,51.5,6,9,0
panama,1999,57.9,75.75,3,10,0
panama,2000,54.03,83.22,9,11,0
panama,2001,53.32,50.19,6,12,0
panama,2002,67.54,78.83,8,13,0
panama,2003,38.02,40.89,6,14,0
panama,2004,51.13,46.56,6,15,0
panama,2005,43.31,40.06,8,16,0
panama,2006,54.09,46.26,5,17,0
panama,2007,45.72,51.28,5,18,0
panama,2008,55.76,43.21,7,19,0
panama,2009,47.03,61.66,9,20,0
panama,2010,65.8,62.76,9,21,0
panama,2011,53.62,59.78,8,22,0
panama,2012,64.08,70,9,23,0
panama,2013,67.62,87.63,2,24,0
panama,2014,48.49,41.98,7,25,0
panama,2015,54.67,45.14,7,26,0
panama,2016,45.32,47.12,9,27,0
panama,2017,54.88,57.3,9,28,0
panama,2018,52.33,40.49,5,29,0
panama,2019,58.73,84.13,7,30,0
panama,2020,45.59,41.66,5,31,0
paraguay,1990,56.18,88.87,3,1,0
paraguay,1991,59.98,74.47,3,2,0
paraguay,1992,51.72,46.21,4,3,0
paraguay,1993,56.77,41.58,7,4,0
paraguay,1994,60.85,54.94,5,5,0
paraguay,1995,67.21,83.55,3,6,0
paraguay,1996,59.55,70.61,8,7,0
paraguay,1997,61.58,44.01,5,8,0
paraguay,1998,64.96,79.19,8,9,0
paraguay,1999,57.54,72.18,2,10,0
paraguay,2000,53.09,76.24,5,11,0
paraguay,2001,64.93,52.36,6,12,0
paraguay,2002,51.89,56.45,7,13,0
paraguay,2003,52.88,56.84,9,14,0
paraguay,2004,56.26,42.18,5,15,0
paraguay,2005,51.39,67.77,3,16,0
paraguay,2006,63.67,67.12,4,17,0
paraguay,2007,52.48,72.52,3,18,0
paraguay,2008,53.16,60.92,8,19,0
paraguay,2009,59.88,52.88,5,20,0
paraguay,2010,57.59,71.44,5,21,0
paraguay,2011,71.36,58.55,5,22,0
paraguay,2012,60.06,65.7,2,23,0
paraguay,2013,64.53,61.93,6,24,0
paraguay,2014,51.25,69.89,5,25,0
paraguay,2015,50.89,61.09,3,26,0
paraguay,2016,49.58,63.29,6,27,0
paraguay,2017,58.78,76.66,4,28,0
paraguay,2018,66.76,70.09,3,29,0
paraguay,2019,41.52,51.88,7,30,0
paraguay,2020,55.46,43.46,2,31,0
peru,1990,62.24,52.36,5,1,1
peru,1991,50.21,68.97,5,2,1
peru,1992,51.69,69.65,7,3,1
peru,1993,61.95,59.95,4,4,1
peru,1994,67.69,72.84,8,5,1
peru,1995,63.65,59.83,8,6,1
peru,1996,56.82,62.69,4,7,1
peru,1997,60.71,56.54,6,8,1
peru,1998,54.9,56.85,7,9,1
peru,1999,53.62,69.39,5,10,1
peru,2000,53.65,75.34,9,11,1
peru,2001,51.61,70.28,8,12,1
peru,2002,63.93,73.19,6,13,1
peru,2003,62.23,62.32,8,14,1
peru,2004,60.77,83.41,5,15,1
peru,2005,65.75,89.33,2,16,1
peru,2006,60.09,66.56,5,17,1
peru,2007,53.02,51.24,6,18,1
peru,2008,65.33,86.69,6,19,1
peru,2009,57.13,74.41,5,20,1
peru,2010,56.91,89.33,9,21,1
peru,2011,61.64,66.09,8,22,1
peru,2012,57.97,73.34,5,23,1
peru,2013,57.68,49.42,8,24,1
peru,2014,65.13,73.63,9,25,1
peru,2015,59.94,88.93,4,26,1
peru,2016,65.98,74.16,3,27,1
peru,2017,62.62,83.23,2,28,1
peru,2018,56.57,41.52,9,29,1
peru,2019,64.24,81.34,9,30,1
peru,2020,57.69,72.56,3,31,1
uruguay,1990,53.86,70.25,8,1,0
uruguay,1991,60.7,88.86,2,2,0
uruguay,1992,48.53,45.46,3,3,0
uruguay,1993,53.49,60.21,7,4,0
uruguay,1994,64.41,85.07,6,5,0
uruguay,1995,58.17,79.89,4,6,0
uruguay,1996,57.55,54.84,8,7,0
uruguay,1997,55.96,40.29,8,8,0
uruguay,1998,65.07,68.17,4,9,0
uruguay,1999,60.77,59.43,2,10,0
uruguay,2000,66.49,62.22,7,11,0
uruguay,2001,53.57,43.66,4,12,0
uruguay,2002,55.15,77.97,2,13,0
uruguay,2003,47.39,58.99,3,14,0
uruguay,2004,57.51,63.83,4,15,0
uruguay,2005,64.04,78.24,7,16,0
uruguay,2006,61.91,66.06,6,17,0
uruguay,2007,53.29,49.79,8,18,0
uruguay,2008,57.55,59,5,19,0
uruguay,2009,59.95,86.72,7,20,0
uruguay,2010,56.48,70.87,6,21,0
uruguay,2011,55.25,54.24,4,22,0
uruguay,2012,62.81,69.05,3,23,0
uruguay,2013,61.01,70.52,3,24,0
uruguay,2014,61.06,81.16,7,25,0
uruguay,2015,54.91,49.06,8,26,0
uruguay,2016,55.38,49.23,8,27,0
uruguay,2017,49.42,45.34,3,28,0
uruguay,2018,61.35,80.79,5,29,0
uruguay,2019,54.18,42.17,3,30,0
uruguay,2020,71.17,69.68,3,31,0
